player,player_id,position,team_name,2025 Team,Team,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,rank_player_game_count,rank_attempts,rank_avoided_tackles,rank_breakaway_attempts,rank_breakaway_percent,rank_breakaway_yards,rank_designed_yards,rank_drops,rank_elu_recv_mtf,rank_elu_rush_mtf,rank_elu_yco,rank_elusive_rating,rank_explosive,rank_first_downs,rank_gap_attempts,rank_grades_hands_fumble,rank_grades_offense,rank_grades_offense_penalty,rank_grades_pass,rank_grades_pass_block,rank_grades_pass_route,rank_grades_run,rank_grades_run_block,rank_longest,rank_rec_yards,rank_receptions,rank_routes,rank_run_plays,rank_scramble_yards,rank_scrambles,rank_targets,rank_total_touches,rank_touchdowns,rank_yards,rank_yards_after_contact,rank_yco_attempt,rank_ypa,rank_yprr,rank_zone_attempts,rank_declined_penalties,rank_fumbles,rank_penalties
Blake Shapen,122282,QB,MISS STATE,Mississippi State,Mississippi State,5,31,4,1,20.9,24,0,57,0,0,1,28,16.6,2,7,227,2,5,63.3,73,66,78.1,0,60,52.6,60.2,24,1,0,0,1,157,58,18,0,13,1,115,62,2,3.7,0,4,4,250,339,299,463,377,480,264,415,574,534,823,414,299,461,985,358,1112,64,593,451,1257,258,337,685,708,843,21,78,12,742,600,284,351,379,850,841,681,529,1,1196,1081
Cam Barfield,162657,HB,HAWAII,Hawaii,Hawaii,6,31,5,1,20.6,27,0,131,3,1,5,75,33,3,6,180,0,7,80,64.8,0,0,49.6,57.2,70.2,60,27,1,151,13,60,35,0,0,20,44,1,131,75,2.42,4.2,2.52,22,1,250,286,299,466,361,276,5,257,248,295,683,327,347,378,120,791,1269,334,404,622,372,313,283,111,110,219,597,246,251,94,155,284,311,327,728,720,102,130,1,1,1081
Lloyd Avant,190713,HB,COLO STATE,Colorado State,Colorado State,4,30,13,4,37.2,77,0,207,1,2,13,164,227.8,6,11,144,1,12,49.9,78.8,78.8,0,46.8,65.5,82.5,61.9,23,0,44,6,34,48,0,0,7,36,2,207,164,5.47,6.9,1.29,17,312,262,70,78,305,160,149,80,167,60,102,76,151,179,223,1155,161,440,334,420,284,51,177,357,331,279,400,473,246,251,304,216,148,175,116,114,244,318,190,1,1008,1
Harrison Waylee,130584,HB,VIRGINIA,Virginia,Virginia,4,30,4,1,42.4,97,0,229,0,0,4,155,66.7,6,11,335,0,5,79.3,67.9,78.3,0,74.1,56.6,67.3,0,97,0,2,1,14,31,0,0,1,31,4,229,155,5.17,7.6,0.14,25,312,262,339,299,250,120,130,264,415,298,111,396,151,179,461,162,625,481,334,147,656,533,1181,1,662,580,589,658,246,251,613,258,47,153,128,125,173,663,106,1,1,1
Will Henderson III,190255,HB,UTSA,UTSA,UTSA,4,30,6,2,37.6,44,0,117,1,1,6,77,48.6,2,4,331,0,12,79.1,70.7,79.6,0,82.4,77.4,66.8,60.5,23,0,42,7,49,36,0,0,8,37,0,117,77,2.57,3.9,0.86,18,312,262,239,178,296,273,306,80,257,203,287,529,414,461,223,165,461,376,334,28,75,560,228,357,344,234,290,581,246,251,269,206,550,345,320,666,810,447,171,1,1,1
Ajay Allen,156470,HB,TULSA,Tulsa,Tulsa,5,30,8,1,25.2,40,0,159,0,0,8,110,91.7,6,9,320,0,5,79.1,74.1,79.7,0,46.4,56.6,76.3,75.7,40,0,18,2,35,40,0,0,6,32,1,159,110,3.67,5.3,0.51,24,4,262,177,299,421,301,225,264,415,150,196,300,151,230,461,165,314,371,334,423,656,168,31,165,491,502,384,539,246,251,339,250,284,261,227,309,471,563,112,1,1,1
Fernando Mendoza,158323,QB,INDIANA,Indiana,Indiana,5,29,5,0,0,0,0,-15,0,0,1,15,8.9,3,9,190,1,2,75.6,87.1,66.1,86,0,0,68.8,60,14,1,0,0,0,156,98,16,0,13,2,85,74,2.55,2.9,0,7,4,275,286,562,562,562,1304,264,415,574,681,878,327,230,640,329,44,1110,24,593,934,455,313,592,685,708,927,23,33,17,742,600,148,439,329,677,978,681,409,1,1008,1081
Katin Houser,158386,QB,E CAROLINA,East Carolina,East Carolina,5,30,5,0,0,0,0,30,1,0,3,61,29.3,0,6,156,6,11,38,71.7,84.7,74.7,0,54.3,51.3,60,9,1,0,0,1,168,32,5,0,25,2,62,73,2.43,2.1,0,9,4,262,286,562,562,562,644,80,415,369,343,712,812,347,250,1203,409,11,92,593,764,1264,313,812,685,708,843,13,121,114,742,338,148,521,333,723,1066,681,349,1,1305,1081
Eli Heidenreich,162554,FB,NAVY,Navy,Navy,4,30,12,6,47,109,0,232,1,3,12,103,122.6,8,13,237,0,10,79.4,84.6,83.5,0,67.5,83.3,85.6,53.7,25,0,170,12,47,170,0,0,17,42,3,232,103,3.43,7.7,3.62,6,312,262,88,27,214,103,127,80,109,76,211,183,92,144,280,156,68,58,334,265,31,25,1048,312,98,131,303,11,246,251,124,167,90,148,240,382,169,42,439,1,1,1
Hunter Watson,183993,QB,SM HOUSTON,Sam Houston State,Sam Houston State,3,30,4,1,29.3,55,0,85,0,0,3,18,44.6,4,7,281,2,3,57.6,50.9,51.8,52.8,0,0,54.1,60,55,3,0,0,0,50,103,19,0,11,2,188,64,2.13,6.3,0,4,761,262,339,299,383,229,396,264,415,369,639,566,251,299,565,1107,1249,1184,275,593,934,1241,313,86,685,708,927,457,28,9,742,659,148,211,370,820,300,681,529,1,1196,1291
Jeremy Payne,183837,HB,TCU,TCU,TCU,4,29,5,2,39.2,51,0,119,0,6,5,92,87.2,4,6,305,0,20,79.1,66.3,80.5,0,52,66.1,66.2,58.8,29,0,78,11,65,36,0,0,14,40,1,130,92,3.17,4.5,1.2,8,312,275,286,178,275,241,297,264,25,248,234,314,251,347,110,165,708,312,334,388,265,587,829,260,211,151,197,581,246,251,154,180,284,315,266,453,653,342,371,1,1,1
Adam Mohammed,183644,HB,WASHINGTON,Washington,Washington,4,30,11,3,40.5,64,0,158,0,3,11,108,144,3,9,340,0,4,79.6,78.2,78.9,0,22.3,74.6,81.9,46.3,25,0,64,5,35,40,0,0,5,35,2,158,108,3.6,5.3,1.83,26,312,262,105,122,264,204,227,264,109,87,201,148,327,230,504,144,179,432,334,539,114,55,1140,312,246,310,384,539,246,251,381,229,148,264,232,330,471,200,96,1,1,1
Beau Pribula,164182,QB,MISSOURI,Missouri,Missouri,5,30,3,1,8.3,15,0,58,0,0,2,22,19.6,9,11,229,1,6,64.2,86.1,84.4,86.6,0,0,63.8,60.1,31,0,0,0,0,175,122,15,0,15,3,180,44,1.47,6,0,2,4,262,418,299,554,519,477,264,415,455,582,794,58,179,419,969,53,14,19,593,934,702,273,238,685,708,927,7,19,21,742,554,90,219,469,1053,331,681,637,1,1008,1
Caden Creel,170414,QB,JVILLE ST,Jacksonville State,Jacksonville State,5,30,12,3,24,63,0,152,0,0,8,76,125.6,9,13,196,2,15,73.5,60.4,78.9,28.8,0,59.2,76.6,59.8,73,1,0,0,1,45,111,8,1,22,2,263,197,6.57,8.8,0,5,4,262,88,122,434,206,239,264,415,150,292,175,58,144,178,433,991,432,326,593,529,161,714,32,685,708,843,495,23,81,613,405,148,114,71,67,117,681,481,1,1196,1081
Josh Holst,171312,QB,N ILLINOIS,Northern Illinois,Northern Illinois,4,30,4,0,0,0,0,14,0,0,1,10,10,2,3,254,0,1,74.3,50.3,82.3,51.6,62.2,0,51.3,60.4,14,1,0,0,0,120,89,20,0,10,0,103,44,1.47,3.4,0,4,312,262,339,562,562,562,799,264,415,574,754,873,414,529,765,390,1254,143,282,315,934,1264,235,592,685,708,927,87,38,8,742,688,550,383,469,1053,889,681,529,1,1,1081
Kadarius Calloway,172271,HB,NEW MEX ST,New Mexico State,New Mexico State,4,30,3,1,19.5,17,0,87,2,1,3,55,21,1,3,242,0,11,79.1,56.7,79,0,55.6,43.1,60.2,58.7,17,0,21,5,58,38,0,0,8,35,1,87,55,1.83,2.9,0.36,19,312,262,418,299,474,464,383,18,257,369,370,786,545,529,250,165,1145,422,334,368,888,954,838,489,467,310,230,559,246,251,269,229,284,427,409,956,978,605,163,1,1,1
Nick Minicucci,173617,QB,DELAWARE,Delaware,Delaware,4,30,2,0,0,0,0,71,0,0,2,42,15.9,2,14,151,0,13,77.3,69.7,83.2,66,0,60,68.9,60.1,13,0,0,0,1,111,38,7,0,23,4,109,53,1.77,3.6,0,7,312,262,498,562,562,562,435,264,415,455,434,833,414,124,202,245,527,80,169,593,451,449,273,626,685,708,843,118,109,90,742,385,47,368,415,966,862,681,409,1,1,1
Marcel Reed,175940,QB,TEXAS A&M,Texas A&M,Texas A&M,4,29,8,1,13.6,21,0,48,0,0,4,26,61.5,6,8,312,2,5,62.2,70,61.9,70.4,62.2,0,60.9,60.1,24,2,0,0,0,109,106,16,0,13,1,154,49,1.69,5.3,0,6,312,275,177,299,521,403,524,264,415,298,549,432,151,263,461,1081,511,1160,132,315,934,924,273,337,685,708,927,124,26,17,742,600,284,272,436,985,471,681,439,1,1196,1249
Conner Harrell,156352,QB,CHARLOTTE,Charlotte,Charlotte,4,29,5,2,40.4,36,0,45,0,0,4,37,33.6,4,6,136,2,6,45.5,72.3,81.9,73.6,0,57,59.8,60,19,0,0,0,0,100,44,8,0,21,2,89,57,1.97,3.1,0,6,312,275,286,178,265,319,545,264,415,298,469,671,251,347,419,1176,384,187,98,593,632,996,313,448,685,708,927,154,99,81,742,418,148,421,398,938,926,681,439,1,1196,1
Aidan Chiles,173727,QB,MICH STATE,Michigan State,Michigan State,4,29,11,4,38.2,86,0,132,0,0,3,57,52.8,9,14,223,4,2,33.8,71.1,82.8,66,0,27.1,75.1,60.1,28,0,0,0,2,123,93,11,1,18,2,225,137,4.72,7.8,0,9,312,275,105,78,288,140,273,264,415,369,359,498,58,124,640,1213,439,107,169,593,931,207,273,268,685,708,812,79,35,50,613,475,148,157,166,164,163,681,349,1,1286,1
Anthony Carrie,183214,HB,FIU,Florida International,Florida International,4,29,1,2,55.2,79,0,143,0,1,1,66,12.6,4,6,166,0,11,78.9,76.1,78.7,0,38.2,85.2,74.9,54.8,53,0,42,7,32,39,0,0,7,36,2,143,66,2.28,4.9,1.31,18,312,275,630,178,144,156,251,264,257,574,322,854,251,347,250,175,257,454,334,465,23,213,1024,97,344,234,415,550,246,251,304,216,148,286,361,779,567,313,171,1,1,1
LJ Johnson Jr.,147003,HB,CAL,California,California,5,29,5,0,0,0,0,96,2,0,5,68,37.8,1,6,130,0,13,79.1,58.8,78.8,0,62.6,32.2,66.2,47.5,12,0,2,2,36,33,0,0,7,31,2,96,68,2.34,3.3,0.06,16,4,275,286,562,562,562,361,18,415,248,316,630,545,347,202,165,1076,440,334,309,914,587,1125,674,662,502,372,633,246,251,304,258,148,402,355,755,902,674,206,1,1,1
Evan Simon,129906,QB,TEMPLE,Temple,Temple,4,29,4,1,10.3,16,0,86,0,0,3,29,30.1,5,8,306,1,3,64.7,75,81.6,71.7,0,56.7,68.5,60,34,0,0,0,1,93,70,12,0,17,0,156,55,1.9,5.4,0,12,312,275,339,299,543,489,391,264,415,369,522,701,196,263,565,957,291,203,122,593,646,466,313,210,685,708,843,183,61,41,742,499,550,269,409,946,452,681,282,1,1008,1
Jayden Scott,183347,HB,NC STATE,North Carolina State,North Carolina State,5,29,11,1,14,15,0,107,0,1,11,93,116.6,4,11,248,0,12,79.4,72.4,78.7,0,85.7,67.7,70.8,61.4,15,0,31,4,36,45,0,0,4,33,1,107,93,3.21,3.7,0.86,15,4,275,105,299,520,519,334,264,257,87,231,199,251,179,223,156,382,454,334,5,225,345,191,553,405,371,372,495,246,251,428,240,284,376,263,440,841,447,222,1,1,1
Lamar Sperling,171214,HB,BUFFALO,Buffalo,Buffalo,4,29,13,2,41.9,80,0,191,0,0,13,136,203.2,5,8,126,0,2,78.9,73,76.6,0,12.7,58.2,73,83.8,63,0,5,1,13,35,0,0,1,30,1,191,136,4.69,6.6,0.38,27,312,275,70,178,254,153,174,264,415,60,145,87,196,263,640,175,358,607,334,571,566,272,6,59,621,580,602,597,246,251,613,273,284,204,168,168,271,600,90,1,1,1
Noah Fifita,158722,QB,ARIZONA,Arizona,Arizona,4,29,9,1,11.6,15,0,57,0,0,3,26,30.5,6,13,109,0,8,76.1,84.4,82.8,81.6,0,55.9,70.9,60,15,1,0,0,1,102,72,13,0,16,3,129,90,3.1,4.4,0,3,312,275,152,299,538,519,480,264,415,369,549,699,151,144,344,305,72,107,43,593,697,338,313,553,685,708,843,151,59,36,742,516,90,317,273,471,674,681,585,1,1,1081
James Peoples,183706,HB,OHIO STATE,Ohio State,Ohio State,4,28,3,1,12.5,17,0,136,0,0,3,73,23.7,4,7,260,0,17,78.9,65.6,78.7,0,14.4,64.6,67.3,59.9,17,0,27,5,35,35,0,0,5,33,0,136,73,2.61,4.9,0.77,11,312,286,418,299,530,464,266,264,415,369,299,764,251,299,147,175,745,454,334,569,315,533,704,489,426,310,384,597,246,251,381,240,550,300,333,653,567,479,300,1,1,1
Gio Lopez,172309,QB,N CAROLINA,North Carolina,North Carolina,4,28,8,0,0,0,0,49,0,0,1,41,16,2,8,245,2,8,43.8,71.1,80.8,66.8,0,0,68.1,60,12,0,0,0,0,86,54,12,0,16,1,103,80,2.86,3.7,0,2,312,286,177,562,562,562,521,264,415,574,437,831,414,263,344,1182,439,277,162,593,934,492,313,674,685,708,927,207,83,41,742,516,284,383,307,577,841,681,637,1,1196,1
Jordan Lovett,172356,HB,TROY,Troy,Troy,4,28,6,1,13.6,15,0,110,0,0,6,73,48.9,3,4,318,0,14,78.7,59.1,79.5,0,41,58.3,62,50,15,0,10,4,49,37,0,0,5,32,0,110,73,2.61,3.9,0.2,13,312,286,239,299,521,519,325,264,415,203,299,527,327,461,187,184,1064,385,334,454,564,877,1096,553,568,371,290,572,246,251,381,250,550,364,333,653,810,647,261,1,1,1
Nicco Marchiol,157363,QB,W VIRGINIA,West Virginia,West Virginia,4,28,5,0,0,0,0,71,0,0,3,58,36,4,8,343,1,11,76.6,68.2,82.3,66.5,0,0,62.1,60,12,1,0,0,0,111,32,6,0,22,1,103,81,2.89,3.7,0,6,312,286,286,562,562,562,435,264,415,369,354,651,251,263,250,282,606,143,165,593,934,870,313,674,685,708,927,118,121,105,742,405,284,383,300,569,841,681,439,1,1008,1081
Juelz Goff,183271,HB,PITTSBURGH,Pittsburgh,Pittsburgh,4,28,8,1,14.7,17,0,116,0,2,8,95,102.8,2,6,268,0,11,78.9,68.3,80.1,0,12.5,75.8,70.2,57.9,17,0,35,5,59,36,0,0,6,33,2,116,95,3.39,4.1,0.59,17,312,286,177,299,511,464,310,264,167,150,226,246,414,347,250,175,600,347,334,572,93,372,897,489,378,310,225,581,246,251,339,240,148,348,257,394,735,537,190,1,1,1
Logan Fife,128176,QB,NEW MEX ST,New Mexico State,New Mexico State,4,28,2,0,0,0,0,34,0,0,0,19,0,4,5,242,6,5,29.1,57.4,83,59.1,0,0,52.5,60,14,0,0,0,0,79,51,13,0,15,0,85,67,2.39,3,0,3,312,286,498,562,562,562,605,264,415,781,626,901,251,399,461,1232,1121,95,231,593,934,1258,313,592,685,708,927,249,89,36,742,554,550,439,359,741,936,681,585,1,1305,1
La'Vell Wright,146736,HB,W KENTUCKY,Western Kentucky,Western Kentucky,5,28,6,2,18.1,32,0,177,0,1,6,103,80.5,6,14,346,0,21,78.9,83.7,77.2,0,81.8,70.2,81.3,59.1,17,0,35,4,19,33,0,0,5,32,5,177,103,3.68,6.3,1.84,6,4,286,239,178,488,336,193,264,257,203,211,333,151,124,99,175,81,562,334,32,173,61,797,489,378,371,535,633,246,251,381,250,24,226,240,306,300,198,439,1,1,1
Christian Clark,184505,HB,TEXAS,Texas,Texas,3,28,4,0,0,0,0,116,0,2,4,46,31.8,3,8,311,0,14,78.7,65.9,78.7,0,70.8,68.2,63.4,71.2,13,0,48,3,27,33,0,0,6,31,1,116,46,1.64,4.1,1.78,14,761,286,339,562,562,562,310,264,167,298,414,689,327,263,187,184,729,454,334,208,216,735,57,626,312,435,453,633,246,251,339,258,284,348,458,1012,735,210,240,1,1,1
Ousmane Kromah,198443,HB,FLORIDA ST,Florida State,Florida State,4,28,10,3,33.9,59,0,174,0,1,10,127,160.9,7,10,167,0,11,78.9,87.9,76.4,0,73.2,87,83.5,52.4,23,0,59,3,14,33,0,0,3,31,0,174,127,4.54,6.2,4.21,17,312,286,126,122,337,217,198,264,257,103,158,125,123,200,250,175,39,619,334,159,20,39,1070,357,265,435,589,633,246,251,486,258,550,231,186,180,313,26,190,1,1,1
Gunner Stockton,157072,QB,GEORGIA,Georgia,Georgia,4,28,3,1,13.2,21,0,99,0,0,2,61,62.2,6,8,173,1,8,75.6,74.5,83.2,72.8,0,0,64.8,60,21,1,0,0,0,140,60,14,0,14,3,159,133,4.75,5.7,0,5,312,286,418,299,527,403,348,264,415,455,343,424,151,263,344,329,303,80,108,593,934,654,313,398,685,708,927,42,76,27,742,578,90,261,175,160,410,681,481,1,1008,1081
Robert Briggs,163425,HB,SO MISS,Southern Miss,Southern Miss,4,28,6,2,29.3,34,0,116,0,0,6,72,48.2,4,5,296,0,12,78.4,60.9,77.7,0,18.7,65.6,63.6,48.1,19,0,30,4,34,32,0,0,5,32,1,116,72,2.57,4.1,0.88,14,312,286,239,178,383,329,310,264,415,203,304,534,251,399,223,191,968,524,334,560,282,715,1119,448,408,371,400,649,246,251,381,250,284,348,339,666,735,441,240,1,1,1
Dominic Knicely,198293,HB,COAST CAR,Coastal Carolina,Coastal Carolina,4,28,7,3,47.7,83,0,174,0,0,7,89,74.2,5,6,141,2,10,47.4,71.9,79.2,0,41.3,62.2,75,41.7,52,0,5,2,18,46,0,0,4,30,0,174,89,3.18,6.2,0.28,18,312,286,202,122,203,147,198,264,415,169,240,365,196,347,280,1167,404,405,334,450,389,212,1160,103,621,502,551,486,246,251,428,273,550,231,274,448,313,632,171,1,1196,1
Lee Beebe Jr.,163009,HB,INDIANA,Indiana,Indiana,3,27,9,2,22.5,45,0,200,0,0,9,97,115.5,9,14,190,1,10,42.3,72.1,0,0,17.4,59.4,73.7,60,24,1,7,1,11,29,0,0,1,28,1,200,97,3.59,7.4,0.64,14,761,298,152,178,447,268,160,264,415,129,221,201,58,124,280,1190,397,1269,334,564,519,251,313,337,595,580,620,677,246,251,613,298,284,187,253,334,186,519,240,1,1008,1081
Zach Palmer-Smith,159550,HB,LA MONROE,Louisiana-Monroe,Louisiana-Monroe,4,27,12,2,51.7,74,0,143,0,0,12,142,233.7,4,6,209,0,10,78.7,72.2,79.1,0,78,55,70,67.2,56,0,0,0,8,36,0,0,0,27,1,143,142,5.26,5.3,0,17,312,298,88,178,173,173,251,264,415,76,135,72,251,347,280,184,390,415,334,78,735,382,97,83,685,708,662,581,246,251,742,310,284,286,155,121,471,681,190,1,1,1
Jaquez Moore,143866,HB,DUKE,Duke,Duke,5,27,6,2,44.6,54,0,121,1,3,6,81,87.1,3,4,154,0,3,78.7,69.3,77.2,0,78.8,57.7,72.3,39.1,32,0,44,4,32,29,0,0,7,31,1,121,81,3,4.5,1.38,23,4,298,239,178,236,232,293,80,109,203,268,315,327,461,565,184,544,562,334,66,594,299,1171,227,331,371,415,677,246,251,304,258,284,332,300,491,653,297,120,1,1,1
Zuberi Mobley,145187,HB,TULANE,Tulane,Tulane,5,27,11,2,32.4,44,0,136,0,1,11,91,144.4,4,5,319,0,13,78.5,71.4,79.1,0,73.2,55.4,74.7,57.1,28,0,6,1,36,41,0,0,1,28,2,136,91,3.37,5,0.17,14,4,298,105,178,355,273,266,264,257,87,236,147,251,399,202,190,421,415,334,159,714,219,938,268,608,580,372,532,246,251,613,298,148,300,271,399,530,656,240,1,1,1
Ja'Kobi Jackson,174248,HB,FLORIDA,Florida,Florida,4,27,9,1,30,27,0,90,0,3,9,89,127.6,1,6,163,1,7,47,65.1,79.2,0,78.7,60.6,65.1,59.3,27,0,27,4,32,33,0,0,4,31,0,90,89,3.3,3.3,0.84,20,312,298,152,299,375,361,374,264,109,129,240,173,545,347,378,1168,776,405,334,67,434,648,769,283,426,371,415,633,246,251,428,258,550,417,274,420,902,456,153,1,1008,1
Stacy Sneed,123680,HB,HOUSTON,Houston,Houston,4,27,7,1,14.2,16,0,113,1,0,7,81,72.4,5,5,182,0,10,78.4,59.1,79.2,0,10.2,48.6,65.6,55.4,16,0,17,2,28,40,0,0,4,29,0,113,81,3,4.2,0.61,16,312,298,202,299,516,489,319,80,415,169,268,375,196,399,280,191,1064,405,334,581,861,625,1006,520,495,502,447,539,246,251,428,283,550,358,300,491,720,531,206,1,1,1
Matthew Sluka,143059,QB,JAMES MAD,James Madison,James Madison,3,27,8,1,14.4,18,0,112,0,0,8,87,103,3,11,197,0,22,77.5,75.9,75.4,55.7,62.2,0,74.3,60,18,0,0,0,0,32,13,1,0,26,2,125,95,3.52,4.6,0,1,761,298,177,299,515,443,322,264,415,150,246,245,327,179,89,232,264,672,263,315,934,235,313,467,685,708,927,649,173,192,742,318,148,325,257,349,632,681,733,1,1,1
Micah Alejado,184162,QB,HAWAII,Hawaii,Hawaii,4,27,2,0,0,0,0,-7,0,0,0,10,0,4,4,180,2,2,62.1,60.6,63.8,62.5,0,0,53.8,60,30,2,0,0,0,73,116,16,0,11,0,109,28,1.04,4,0,1,312,298,498,562,562,562,1281,264,415,781,754,901,251,461,640,1082,980,1129,187,593,934,1244,313,247,685,708,927,282,22,17,742,659,550,368,587,1087,761,681,733,1,1196,1249
Jabari Bates,157835,HB,S JOSE ST,San Jose State,San Jose State,3,27,11,1,45.3,87,0,192,0,1,11,190,301.6,3,8,285,0,12,79,78.1,78.6,0,59.3,63.4,79.3,60,87,0,12,1,16,28,0,0,1,28,2,192,190,7.04,7.1,0.75,14,761,298,105,299,230,139,172,264,257,87,77,47,327,263,223,171,182,466,334,344,355,92,313,6,545,580,572,689,246,251,613,298,148,202,83,54,213,485,240,1,1,1
Arch Manning,173162,QB,TEXAS,Texas,Texas,4,26,9,0,0,0,0,66,0,0,3,36,33.3,5,12,311,2,9,75.8,83.6,82.7,79.3,0,0,73,60,20,0,0,0,0,130,61,8,0,18,5,127,72,2.77,4.9,0,5,312,307,152,562,562,562,460,264,415,369,480,674,196,163,313,321,83,119,57,593,934,272,313,419,685,708,927,69,75,81,742,475,24,318,339,607,567,681,481,1,1196,1
Trey Kukuk,198675,QB,LA TECH,Louisiana Tech,Louisiana Tech,3,26,7,2,33.3,41,0,114,0,0,5,53,46,4,9,208,0,17,76.6,69.2,78.8,56,0,0,74.6,60,24,1,0,0,0,58,9,2,0,24,0,123,67,2.58,4.7,0,5,761,307,202,178,343,297,317,264,415,248,377,556,251,230,147,282,550,440,260,593,934,224,313,337,685,708,927,397,195,164,742,359,550,329,359,665,606,681,481,1,1,1081
Ta'Quan Roberson,101625,QB,BUFFALO,Buffalo,Buffalo,4,26,4,1,24.1,40,0,98,0,0,3,57,66.8,5,8,126,2,7,59.2,71.3,81.9,69.3,0,0,64.7,60,40,0,0,0,0,105,68,10,0,16,2,166,65,2.5,6.4,0,8,312,307,339,299,432,301,353,264,415,369,359,395,196,263,378,1101,427,187,142,593,934,660,313,165,685,708,927,140,66,58,742,516,148,249,365,689,294,681,371,1,1196,1
Dierre Hill Jr.,199870,HB,OREGON,Oregon,Oregon,5,26,13,7,71.5,193,0,270,0,2,13,188,387.4,9,11,264,0,13,78.3,90.9,76.8,0,0,66.5,89.4,60.6,66,0,12,2,11,38,0,0,3,28,2,270,188,7.23,10.4,1.09,12,4,307,70,16,78,27,91,264,167,60,81,36,58,179,202,195,11,593,334,593,253,15,221,45,545,502,620,559,246,251,486,298,148,107,87,52,73,379,282,1,1,1
Elijah Green,122836,HB,SM HOUSTON,Sam Houston State,Sam Houston State,4,26,5,0,0,0,0,74,0,5,5,59,59.7,2,5,281,0,12,78.1,66.3,79.2,0,36.4,80.2,63.8,56.4,11,0,133,12,58,33,0,0,13,38,0,74,59,2.27,2.8,2.29,12,312,307,286,562,562,562,425,264,42,248,347,445,414,399,223,207,708,405,334,475,50,702,974,725,123,131,230,633,246,251,170,193,550,478,388,781,991,122,282,1,1,1
Matt Fuller,190231,HB,S CAROLINA,South Carolina,South Carolina,3,26,5,0,0,0,0,71,0,0,5,77,57,0,4,289,0,17,78.2,60.2,77,0,0,56.2,60.5,59.5,6,0,0,0,5,29,0,0,0,26,1,71,77,2.96,2.7,0,9,761,307,286,562,562,562,435,264,415,248,287,462,812,461,147,199,996,581,334,593,677,947,745,954,685,708,728,677,246,251,742,318,284,488,320,547,1001,681,349,1,1,1
Xavier Williams,189698,HB,IOWA,Iowa,Iowa,3,26,3,2,37.6,70,0,186,0,1,3,79,41.9,3,6,192,0,6,78.2,68.1,77.6,0,8.2,66.7,69.9,56.8,43,0,21,3,19,35,0,0,3,29,1,186,79,3.04,7.2,1.11,20,761,307,418,178,296,187,183,264,257,369,278,593,327,347,419,199,619,530,334,586,248,390,950,146,467,435,535,597,246,251,486,283,284,213,311,485,205,374,153,1,1,1
Nicholas Vattiato,145302,QB,MIDDLE TN,Middle Tennessee,Middle Tennessee,5,26,4,0,0,0,0,7,0,0,0,8,0,1,7,224,2,3,65.7,60.3,84.1,61.7,62.2,51.6,53.1,60.1,10,0,0,0,2,99,77,18,0,8,2,84,38,1.46,3.2,0,2,4,307,339,562,562,562,940,264,415,781,805,901,545,299,565,897,994,27,194,315,825,1251,273,770,685,708,812,159,50,12,742,761,148,442,509,1055,919,681,637,1,1196,1
Terion Stewart,130386,HB,VA TECH,Virginia Tech,Virginia Tech,3,26,16,2,48.5,116,0,239,1,0,16,187,426.2,9,10,337,0,7,78.2,76.7,0,0,80.1,38.2,84.9,57.1,85,1,6,1,26,38,0,0,3,27,0,239,187,7.19,9.2,0.23,19,761,307,39,178,201,89,118,80,415,36,82,30,58,200,378,199,233,1269,334,54,907,30,938,8,608,580,458,559,246,251,486,310,550,139,88,53,98,643,163,1,1,1081
Noah Kim,129623,QB,E MICHIGAN,Eastern Michigan,Eastern Michigan,5,26,3,1,15.9,20,0,86,0,0,1,22,8.6,5,7,160,2,4,56.9,70.3,67.2,71.9,0,60,56.3,60.3,20,1,0,0,1,137,40,10,1,16,3,126,63,2.42,4.8,0,8,4,307,418,299,501,416,391,264,415,574,582,879,196,299,504,1110,494,1091,117,593,451,1206,245,419,685,708,843,47,105,58,613,516,90,320,376,728,584,681,371,1,1196,1081
Jaylen Henderson,146054,QB,W VIRGINIA,West Virginia,West Virginia,5,26,3,3,42.6,72,0,147,0,0,3,45,25.5,6,9,343,1,13,49.2,57.4,77.4,37.5,0,0,69.2,60,32,0,0,0,0,49,22,3,0,23,1,169,50,1.92,6.5,0,6,4,307,418,122,248,181,244,264,415,369,420,748,151,230,202,1159,1121,545,320,593,934,430,313,227,685,708,927,465,142,143,742,385,284,241,427,941,281,681,439,1,1008,1
Alonza Barnett III,156710,QB,JAMES MAD,James Madison,James Madison,4,25,1,1,24.6,28,0,113,0,0,1,28,4.9,6,10,197,4,13,31.2,63.1,82.6,55.3,62.2,0,72.7,60.1,28,0,0,0,0,136,1,1,0,24,4,114,28,1.12,4.6,0,7,312,318,630,299,427,358,319,264,415,574,534,897,151,200,202,1220,878,127,265,315,934,286,273,268,685,708,927,49,239,192,742,359,47,355,587,1084,632,681,409,1,1286,1
