player,player_id,position,team_name,2025 Team,Team,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,rank_player_game_count,rank_attempts,rank_avoided_tackles,rank_breakaway_attempts,rank_breakaway_percent,rank_breakaway_yards,rank_designed_yards,rank_drops,rank_elu_recv_mtf,rank_elu_rush_mtf,rank_elu_yco,rank_elusive_rating,rank_explosive,rank_first_downs,rank_gap_attempts,rank_grades_hands_fumble,rank_grades_offense,rank_grades_offense_penalty,rank_grades_pass,rank_grades_pass_block,rank_grades_pass_route,rank_grades_run,rank_grades_run_block,rank_longest,rank_rec_yards,rank_receptions,rank_routes,rank_run_plays,rank_scramble_yards,rank_scrambles,rank_targets,rank_total_touches,rank_touchdowns,rank_yards,rank_yards_after_contact,rank_yco_attempt,rank_ypa,rank_yprr,rank_zone_attempts,rank_declined_penalties,rank_fumbles,rank_penalties
Antwan Raymond,190489,HB,RUTGERS,Rutgers,Rutgers,5,87,31,7,33.1,156,0,471,0,2,31,373,155.5,14,36,278,0,17,86.2,87.6,82,0,84.6,64.9,85.6,60.4,35,0,42,4,56,100,0,0,5,91,9,471,373,4.29,5.4,0.75,70,4,9,4,16,347,46,13,264,167,4,6,132,13,3,147,5,42,175,334,10,302,25,235,203,344,371,246,154,246,251,381,12,1,14,6,217,452,485,4,1,1,1
Kentrel Bullock,124129,HB,S ALABAMA,South Alabama,South Alabama,5,87,22,1,4.9,20,0,410,1,2,22,257,77.9,12,24,288,1,63,70.6,77.3,81.1,0,51.5,49.1,78.8,66.4,20,0,26,4,54,107,0,0,6,91,5,410,257,2.95,4.7,0.48,24,4,9,10,299,561,416,21,80,167,10,28,347,24,15,1,597,213,251,334,392,854,106,112,419,434,371,257,133,246,251,339,12,24,23,30,550,606,575,112,1,1008,1
Sieh Bangura,145886,HB,OHIO,Ohio,Ohio,5,84,20,7,38.2,158,0,414,0,0,20,271,72.5,12,22,259,0,57,85.9,68.7,23.1,0,62.2,55.8,70.6,63.1,32,1,26,5,80,103,0,0,8,89,4,414,271,3.23,4.9,0.33,27,4,13,18,16,288,42,19,264,415,18,24,374,24,26,2,6,582,1236,334,315,702,356,155,227,434,310,143,147,246,251,269,14,47,21,24,434,567,610,90,1,1,1081
Raleek Brown,158458,HB,ARIZONA ST,Arizona State,Arizona State,5,77,29,8,46.8,237,0,506,2,6,29,245,117.2,15,21,110,1,49,71.9,73.5,84.3,0,56.7,62.1,76.8,54.5,75,0,107,18,106,90,0,0,22,95,2,506,245,3.18,6.6,1.01,28,4,14,5,7,217,12,8,18,25,5,32,195,6,31,7,518,336,19,334,361,394,158,1032,17,163,49,73,197,246,251,72,8,148,8,34,448,271,399,84,1,1008,1
Waymond Jordan,199407,HB,USC,USC,USC,5,77,25,8,41.7,224,0,537,1,3,25,421,184.4,15,28,326,2,47,51.3,80.6,17.8,0,83.8,47,85.3,56.5,40,1,49,6,70,98,0,0,10,83,5,537,421,5.47,7,0.7,29,4,14,8,7,255,15,6,80,109,8,2,106,6,7,8,1146,117,1246,334,19,871,29,967,165,307,279,177,162,246,251,226,17,24,6,2,114,218,501,76,1,1196,1081
Chip Trayanum,131631,HB,TOLEDO,Toledo,Toledo,5,76,10,9,55.3,263,0,476,1,1,10,276,48.1,15,24,316,0,37,68.9,71.8,81.3,0,70.6,56.1,73.9,47.6,75,0,61,7,76,91,0,0,11,83,6,476,276,3.63,6.3,0.8,38,4,16,126,4,141,7,12,80,257,103,22,535,6,15,22,709,405,234,334,212,688,245,1123,17,257,234,159,193,246,251,203,17,14,13,22,324,300,468,31,1,1,1
J'Mari Taylor,150482,HB,VIRGINIA,Virginia,Virginia,5,75,21,4,36.8,146,0,397,0,5,21,334,134.6,6,22,335,0,13,85.3,79.8,83.7,0,57.5,66.7,80.8,74.3,66,0,60,11,91,84,0,0,12,86,7,397,334,4.45,5.3,0.66,61,4,17,15,78,312,53,24,264,42,15,10,158,151,26,202,8,130,49,334,355,248,70,38,45,259,151,118,218,246,251,188,16,6,28,10,201,471,510,7,1,1,1
Micah Ford,188865,HB,STANFORD,Stanford,Stanford,5,75,25,4,40.1,139,0,347,1,6,25,335,166.8,9,23,300,0,35,68.6,76.5,81.9,0,54.5,59.5,77.5,60,75,0,77,8,47,79,0,0,11,83,3,347,335,4.47,4.6,1.64,39,4,17,8,78,266,58,45,80,25,8,9,117,58,21,25,724,241,187,334,372,509,143,313,17,213,206,303,249,246,251,203,17,90,51,9,197,632,240,27,1,1,1
Marquis Gillis,151714,HB,DELWARE ST,Delaware State,Delaware State,5,75,15,6,47.3,219,0,463,0,2,15,371,105.1,12,19,152,0,9,85.4,79.8,0,0,12.1,74.9,80,57.4,75,2,65,5,43,90,0,0,6,80,4,463,371,4.95,6.2,1.51,64,4,17,53,27,208,17,14,264,167,48,7,239,24,47,313,7,130,1269,334,576,109,80,925,17,243,310,331,197,246,251,339,23,47,15,7,151,313,266,6,1,1,1249
Kendrick Raphael,170378,HB,CAL,California,California,5,74,16,3,20.9,71,0,340,1,0,16,226,61.9,9,18,130,2,29,52.2,65.7,82.6,0,39,48.4,70.4,46.6,33,0,7,5,76,90,0,0,8,79,2,340,226,3.05,4.6,0.09,44,4,20,39,122,463,184,50,80,415,36,44,429,58,59,47,1139,743,127,334,463,863,363,1136,217,595,310,159,197,246,251,269,24,148,58,47,481,632,671,21,1,1196,1
