player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,Team,teamid,2025 Team,rank_player_game_count,rank_assists,rank_batted_passes,rank_forced_fumbles,rank_fumble_recoveries,rank_fumble_recovery_touchdowns,rank_grades_coverage_defense,rank_grades_defense,rank_grades_defense_penalty,rank_grades_pass_rush_defense,rank_grades_run_defense,rank_grades_tackle,rank_hits,rank_hurries,rank_interception_touchdowns,rank_interceptions,rank_longest,rank_pass_break_ups,rank_sacks,rank_safeties,rank_snap_counts_box,rank_snap_counts_corner,rank_snap_counts_coverage,rank_snap_counts_defense,rank_snap_counts_dl,rank_snap_counts_dl_a_gap,rank_snap_counts_dl_b_gap,rank_snap_counts_dl_outside_t,rank_snap_counts_dl_over_t,rank_snap_counts_fs,rank_snap_counts_offball,rank_snap_counts_pass_rush,rank_snap_counts_run_defense,rank_snap_counts_slot,rank_stops,rank_tackles,rank_tackles_for_loss,rank_targets,rank_total_pressures,rank_catch_rate,rank_declined_penalties,rank_missed_tackle_rate,rank_missed_tackles,rank_penalties,rank_qb_rating_against,rank_receptions,rank_touchdowns,rank_yards,rank_yards_after_catch,rank_yards_per_reception
Tate Romney,70946,LB,ARIZONA ST,6,1,0,50,0,0,110,0,0,63.2,57.1,0,55.6,58.4,41.8,0,0,0,0,9,27.3,3,1,1,62.5,1,0,0,53,0,31,65,4,0,0,4,0,1,61,4,30,7,2,7,0,2,0,0,9,13,9,Arizona State,110,Arizona State,199,2423,425,428,341,32,1562,3685,4253,3101,3511,3617,1190,2336,66,505,2033,425,1154,16,922,1473,1722,2865,2663,890,1455,1871,1394,1112,1692,2597,2836,1452,2445,1823,1707,1902,2602,2338,1,3964,3309,3245,2484,2104,1,2399,2891,3011
Domani Jackson,71370,CB,ALABAMA,6,4,0,62.5,0,0,103,0,0,60.7,59.6,2.9,67.2,57.8,85.9,0,1,0,0,38,4.2,1,1,2,137.5,5,0,0,29,196,127,237,6,0,0,6,0,6,231,3,107,0,5,19,1,8,1,1,84,13,16.8,Alabama,103,Alabama,199,1027,425,428,341,32,2170,3334,4239,866,3572,89,1190,1587,66,505,465,425,1154,16,1244,233,689,980,2416,890,1455,1627,1394,748,729,2783,971,2490,1426,542,700,1101,1908,2855,1,1761,1727,4109,4358,3258,3728,3717,2891,4180
Keanu Tanuvasa,71398,DI,BYU,6,4,0,0,0,0,128,0,0,67.6,60.6,7.8,63.8,60.1,62.1,1,6,0,0,0,20,2,0,2,0,0,1,0,1,0,0,182,181,96,70,0,15,0,1,100,82,0,5,4,1,0,8,0,0,0,0,BYU,0,BYU,199,1027,425,428,341,32,911,3150,4190,1319,3133,2503,489,354,66,505,2413,1002,433,16,2802,1473,3462,1515,481,49,434,3016,511,1376,3120,410,1484,2490,1426,2501,700,2628,415,1,1,3355,2682,4109,1,1,1,29,17,29
Aaron Smith,71596,CB,NEW MEXICO,2,0,0,100,0,0,241,0,0,46.7,46.1,76.3,0,53.8,41.8,0,0,0,0,7,50,1,0,0,90.3,3,0,0,2,1,13,25,0,0,0,0,0,1,25,0,12,21,0,1,0,3,0,0,17,15,5.7,New Mexico,241,New Mexico,3692,3291,425,428,341,32,3722,4400,2417,3662,3950,3617,1190,2336,66,505,2144,1002,1154,16,2615,1128,2224,3624,3532,890,1455,3016,1394,1112,2152,3637,3587,851,3617,3496,1707,1712,2602,3917,1,4357,1727,1,3196,2868,1,2631,2974,2442
DJ Harvey,72089,CB,USC,5,1,0,63.6,0,0,326,0,0,40.5,42.5,78.1,0,64.1,54.2,0,0,0,0,75,20,1,0,1,146.8,7,0,0,2,80,59,87,0,0,0,0,0,1,87,0,28,4,0,3,0,11,0,2,178,54,25.4,USC,326,USC,2191,2423,425,428,341,32,3843,4476,2005,3662,2357,3010,1190,2336,66,505,17,1002,1154,16,2615,421,1327,2578,3532,890,1455,3016,1394,1112,1503,3637,2906,1729,3617,2761,1707,828,2602,2903,1,3355,1727,3245,4424,3582,4324,4356,3969,4469
Solomone Langi,72318,DI,S JOSE ST,5,4,0,0,0,0,285,0,0,59.9,77.2,79.2,65.5,78.1,76.7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,79,79,46,33,0,0,0,0,28,50,0,2,2,0,0,2,0,0,0,0,San Jose State,285,San Jose State,2191,1027,425,428,341,32,2707,387,1711,1070,424,954,489,2336,66,505,2413,1002,433,16,3165,1473,3176,2672,1097,141,648,3016,1394,1376,3417,1388,2282,2490,2445,3090,1707,2628,1480,1,1,1,1,1,1,1,1,29,17,29
Raider Damuni,72338,S,BYU,6,7,0,62.5,0,0,128,0,0,68.2,63.3,79,64.5,53.3,69.2,0,2,0,1,15,11.1,3,0,0,43.2,5,0,0,88,1,99,202,3,0,0,3,0,59,199,3,100,51,8,17,0,8,2,0,55,15,11,BYU,0,BYU,199,389,425,428,341,32,848,2613,1759,1213,3994,2025,1190,1135,66,109,1592,1002,1154,16,652,1128,936,1296,2771,890,1455,2016,1394,347,885,2783,1107,374,763,658,1707,1101,1480,2855,1,2393,3309,1,2244,3258,1,3348,2974,3450
Justin Flowe,72388,LB,UNLV,4,4,0,50,0,0,325,0,0,72.3,77.2,0,59.8,85.3,63.7,0,1,0,0,5,11.1,1,1,1,56.3,1,0,0,44,0,26,53,5,0,0,5,0,0,48,8,19,4,2,4,0,2,1,0,5,8,5,UNLV,325,UNLV,2805,1027,425,428,341,32,477,387,4253,2040,97,2393,1190,1587,66,505,2250,425,1154,16,1028,1473,1809,3046,2529,890,1455,1734,1394,1376,1809,2147,3247,1729,2445,2501,1707,1902,1908,2338,1,2393,1727,3245,2353,2104,1,2254,2645,2358
Ian Shewell,72474,DI,ARIZONA ST,1,0,0,0,0,0,110,0,0,60.2,62.2,70.3,58.1,60.9,71.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,0,8,0,1,0,0,5,3,0,0,1,0,0,0,0,0,0,0,Arizona State,110,Arizona State,4155,3291,425,428,341,32,2283,2847,3434,2526,2970,1800,1190,2336,66,505,2413,1002,1154,16,3165,1473,3176,4221,2216,890,1022,3016,1184,1376,3417,2454,4353,2490,3617,3496,1707,2628,2602,1,1,1,1,1,1,1,1,29,17,29
Jadon Pearson,72538,LB,FRESNO ST,7,16,0,77.8,0,0,169,0,0,67.5,62.5,84.2,52.1,58.9,78.2,0,3,0,0,41,7,4,1,0,97.9,14,0,0,314,2,186,378,35,0,0,35,0,1,343,32,160,24,18,37,3,18,3,0,135,137,9.6,Fresno State,169,Fresno State,1,23,425,428,341,32,922,2786,302,3520,3441,736,1190,854,66,505,381,425,1154,16,36,970,179,92,1498,890,1455,753,1394,1112,164,1305,195,760,98,40,116,350,1189,3561,1,1946,3689,1,3490,4280,1,4161,4506,3149
