player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,Team,teamid,2025 Team,rank_player_game_count,rank_assists,rank_batted_passes,rank_forced_fumbles,rank_fumble_recoveries,rank_fumble_recovery_touchdowns,rank_grades_coverage_defense,rank_grades_defense,rank_grades_defense_penalty,rank_grades_pass_rush_defense,rank_grades_run_defense,rank_grades_tackle,rank_hits,rank_hurries,rank_interception_touchdowns,rank_interceptions,rank_longest,rank_pass_break_ups,rank_sacks,rank_safeties,rank_snap_counts_box,rank_snap_counts_corner,rank_snap_counts_coverage,rank_snap_counts_defense,rank_snap_counts_dl,rank_snap_counts_dl_a_gap,rank_snap_counts_dl_b_gap,rank_snap_counts_dl_outside_t,rank_snap_counts_dl_over_t,rank_snap_counts_fs,rank_snap_counts_offball,rank_snap_counts_pass_rush,rank_snap_counts_run_defense,rank_snap_counts_slot,rank_stops,rank_tackles,rank_tackles_for_loss,rank_targets,rank_total_pressures,rank_catch_rate,rank_declined_penalties,rank_missed_tackle_rate,rank_missed_tackles,rank_penalties,rank_qb_rating_against,rank_receptions,rank_touchdowns,rank_yards,rank_yards_after_catch,rank_yards_per_reception
Marques Buford Jr.,145012,S,NEBRASKA,6,0,0,25,0,0,238,0,0,69,68.7,82.5,65.3,63.2,89,0,0,0,0,5,0,0,0,0,39.6,2,0,0,41,0,96,161,4,0,0,4,0,95,157,3,62,21,4,14,0,8,0,0,9,3,4.5,Nebraska,238,Nebraska,199,3291,425,428,341,32,771,1469,743,1093,2518,27,1190,2336,66,505,2250,1002,1154,16,1062,1473,965,1720,2663,890,1455,1871,1394,238,1078,2783,1945,851,1726,895,1707,1101,2602,2113,1,1,1,1,2023,2567,1,2399,2349,2330
Mikai Gbayor,145013,LB,N CAROLINA,5,5,0,80,0,1,245,1,1,66.7,71.7,77.5,70.4,70.8,66.6,0,0,0,0,12,10.5,2,0,0,83.3,4,1,0,115,0,60,128,7,0,0,7,0,0,121,4,64,6,8,12,1,5,1,0,20,8,5,North Carolina,245,North Carolina,2191,738,425,64,23,1,1014,982,2150,602,1230,2186,1190,2336,66,505,1844,1002,433,16,491,1473,1314,2101,2348,890,1455,1545,1394,1376,1290,2597,1891,1528,763,1093,700,1436,1908,3612,1,2351,2682,1,2977,3068,1,2704,2645,2358
Wynden Ho'ohuli,145015,LB,HAWAII,6,4,0,100,0,0,180,0,0,73.3,68,0,55.8,72,83,0,0,0,0,5,0,0,0,2,87.5,1,0,0,59,0,36,74,3,0,0,3,0,0,71,4,34,11,2,4,1,1,0,0,5,0,5,Hawaii,180,Hawaii,199,1027,425,428,341,32,401,1607,4253,3062,1071,225,1190,2336,66,505,2250,1002,1154,16,861,1473,1644,2738,2771,890,1455,2016,1394,1376,1615,2597,2712,1222,2445,2501,700,2167,2602,3917,1,1,1,4109,3092,2104,1,2254,17,2358
Randolph Kpai,145018,LB,NEW MEXICO,2,1,0,100,0,0,241,0,0,57,67.6,76.4,60,74.6,81.4,0,0,0,0,9,0,0,0,0,104.2,1,0,0,30,0,11,35,1,0,0,1,0,0,34,1,23,4,3,6,0,1,0,0,9,5,9,New Mexico,241,New Mexico,3692,2423,425,428,341,32,3054,1691,2395,1854,775,360,1190,2336,66,505,2033,1002,1154,16,1223,1473,2311,3371,3183,890,1455,2550,1394,1376,1979,3256,3089,1729,2065,2051,1707,2167,2602,3917,1,1,1,1,3656,2104,1,2399,2457,3011
Derek Branch,145019,S,NEBRASKA,2,0,0,0,0,0,238,0,0,60,62.7,69.9,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,7,0,0,0,0,0,0,7,0,6,3,0,0,0,0,0,0,0,0,0,Nebraska,238,Nebraska,3692,3291,425,428,341,32,2326,2740,3486,3662,3157,4198,1190,2336,66,505,2413,1002,1154,16,2368,1473,3176,4332,3532,890,1455,3016,1394,1376,2689,3637,4047,1864,3617,3974,1707,2628,2602,1,1,1,1,1,1,1,1,29,17,29
Michael Booker III,145023,LB,NEBRASKA,2,0,0,0,0,0,238,0,0,63.4,68,72.4,60,67.6,56,0,0,0,0,0,25,1,0,0,0,0,0,0,25,0,10,25,0,0,0,0,0,0,25,1,14,0,2,3,0,0,0,0,0,0,0,Nebraska,238,Nebraska,3692,3291,425,428,341,32,1532,1607,3147,1854,1755,2897,1190,2336,66,505,2413,1002,1154,16,1348,1473,2355,3624,3532,890,1455,3016,1394,1376,2152,3256,3481,2490,2445,2761,1707,2628,2602,1,1,3759,1727,1,1,1,1,29,17,29
Ru'Quan Buckley,145027,DI,MICH STATE,6,2,0,0,0,0,223,0,0,0,63.7,79.8,55.9,66.6,54.6,0,1,0,0,0,28.6,2,0,0,0,0,0,0,0,0,0,112,111,13,91,0,7,0,1,48,64,0,0,3,0,0,1,0,0,0,0,Michigan State,223,Michigan State,199,1851,425,428,341,32,3918,2510,1562,3037,1913,2980,1190,1587,66,505,2413,1002,1154,16,3165,1473,3462,2271,900,412,346,3016,756,1376,3120,1030,1891,2490,3617,2761,1707,2628,1908,1,1,4004,2682,1,1,1,1,29,17,29
Theran Johnson,145045,CB,OREGON,4,0,0,57.1,0,0,264,0,0,59.5,62.4,79.7,58.9,70.4,79.4,0,0,0,0,24,0,0,1,0,89.6,4,0,0,13,100,55,119,6,0,0,6,0,0,113,1,63,0,1,3,0,7,0,0,67,12,16.8,Oregon,264,Oregon,2805,3291,425,428,341,32,2751,2812,1583,2300,1298,579,1190,2336,66,505,985,425,1154,16,1741,389,1378,2198,2416,890,1455,1627,1394,1376,1328,3256,1916,2490,2947,2761,1707,1225,2602,2672,1,1,1,1,3170,3068,1,3513,2847,4180
Garner Wallace,145046,S,NWESTERN,6,5,0,85.7,0,0,256,0,0,63.9,63.8,82.7,48.9,64.3,73.8,0,2,0,0,48,11.5,3,0,0,118.8,6,0,0,125,0,134,248,2,0,0,2,0,98,246,0,114,23,3,18,0,7,2,0,111,57,18.5,Northwestern,256,Northwestern,199,738,425,428,341,32,1430,2497,683,3600,2324,1416,1190,1135,66,505,243,1002,1154,16,440,1473,620,882,2956,890,1455,2263,1394,227,664,3637,814,790,2065,600,1707,1225,1480,3794,1,2484,3309,1,4013,3416,1,3978,4016,4280
Mac Uihlein,145047,LB,NWESTERN,6,9,0,70.6,0,1,256,0,0,61,60.8,81.2,57.2,60.4,35.7,0,2,0,2,20,24.6,14,0,0,40.7,12,0,0,266,0,154,321,4,1,0,3,0,0,317,14,153,50,20,34,3,17,2,0,79,46,6.6,Northwestern,256,Northwestern,199,209,425,64,341,32,2088,3109,1140,2745,3069,3799,1190,1135,66,20,1229,1002,1154,16,88,1473,423,331,2663,781,1455,2016,1394,1376,269,1826,247,384,59,68,116,401,1480,3271,1,3758,4545,1,2214,4141,1,3670,3832,2573
Aidan Hubbard,145048,ED,NWESTERN,6,5,0,100,0,0,256,0,0,67.1,69.7,83.2,68.1,64.1,54.8,0,13,0,0,0,26.3,5,0,0,79.2,1,3,0,1,0,15,206,204,0,3,178,23,0,2,101,90,0,11,9,1,1,16,0,0,0,0,Northwestern,256,Northwestern,199,738,425,428,341,32,974,1301,523,785,2357,2969,1190,48,66,505,2413,1002,83,16,2802,1473,2140,1260,342,890,1209,164,376,1376,2999,396,1303,2490,434,1468,700,2167,91,3917,1,3928,3975,1,2794,2104,1,29,17,29
Najee Story,145049,DI,NWESTERN,6,6,1,0,0,0,256,0,0,62.8,65.3,80.1,60.2,63.9,64,1,3,0,0,0,9.1,1,0,0,0,0,0,0,1,0,0,158,157,4,144,0,9,0,1,73,85,0,4,4,0,0,4,0,0,0,0,Northwestern,256,Northwestern,199,539,66,428,341,32,1638,2162,1478,1820,2390,2367,489,854,66,505,2413,1002,1154,16,2802,1473,3462,1751,621,616,147,3016,682,1376,3120,709,1399,2490,1726,2501,1707,2628,965,1,1,2144,1727,1,1,1,1,29,17,29
Carmine Bastone,145050,DI,NWESTERN,6,9,1,0,0,0,256,0,0,56.6,67,81.1,65.4,67.2,26.9,1,4,0,0,0,30,6,0,0,0,0,2,0,0,0,3,196,195,17,174,1,3,0,1,95,98,0,5,5,0,0,7,0,0,0,0,Northwestern,256,Northwestern,199,209,66,428,341,32,3102,1830,1172,1082,1827,4060,489,625,66,505,2413,1002,188,16,3165,1473,2930,1376,403,352,88,2550,995,1376,3120,476,1148,2490,1426,2272,1707,2628,512,1,1,4065,4173,1,1,1,1,29,17,29
Ore Adeyi,145051,CB,NWESTERN,5,1,0,43.8,0,0,256,0,0,63.6,62.5,83,60,55.6,54.2,0,0,0,1,20,18.2,2,2,0,32,7,0,0,8,143,102,179,21,0,0,21,0,0,158,1,76,6,0,8,0,16,0,0,75,7,10.7,Northwestern,256,Northwestern,2191,2423,425,428,341,32,1498,2786,585,1854,3795,3010,1190,2336,66,109,1229,179,1154,16,2046,315,893,1548,1733,890,1455,955,1394,1376,1070,3256,1615,1528,3617,1653,1707,465,2602,2283,1,3238,2682,1,1998,3582,1,3613,2582,3396
Jantzen Dunn,145068,CB,KENTUCKY,4,1,0,33.3,0,0,202,0,0,59.1,56.8,78.3,56,50.6,57.5,0,0,0,0,14,16.7,1,0,0,49.3,1,0,0,3,4,36,54,1,0,0,1,0,1,53,3,15,43,2,4,0,3,0,0,14,9,14,Kentucky,202,Kentucky,2805,2423,425,428,341,32,2817,3720,1957,3019,4167,2790,1190,2336,66,505,1685,1002,1154,16,2480,840,1644,3028,3183,890,1455,2550,1394,1112,1758,2783,3438,451,2445,2501,1707,1712,2602,2144,1,3015,1727,1,2299,2104,1,2548,2708,3926
Reid Carrico,145069,LB,W VIRGINIA,6,8,0,55.6,0,0,343,1,0,63.5,64.3,81.5,66.9,59.3,50.4,2,12,0,0,54,23.3,7,1,0,120.6,5,2,0,210,0,83,228,7,0,0,7,0,2,221,43,102,8,12,15,2,9,16,1,76,84,15.2,West Virginia,343,West Virginia,199,289,425,428,23,32,1511,2378,1068,897,3387,3241,226,72,66,505,172,425,188,16,189,1473,1083,1054,2348,890,1455,1545,1394,970,783,1102,1065,1390,352,808,294,1008,91,2626,1,3715,4311,1,4198,3258,3728,3630,4304,4073
Andre Turrentine,145072,S,TENNESSEE,6,7,1,85.7,0,0,307,0,0,64.9,60.6,84.2,64.9,48.9,61.4,1,0,0,1,49,15.8,6,0,1,112.8,12,0,0,161,0,220,408,4,0,0,4,0,178,404,8,180,65,3,25,0,14,1,1,196,41,16.3,Tennessee,307,Tennessee,199,389,66,428,341,32,1266,3150,302,1161,4244,2542,489,2336,66,109,227,1002,1154,16,301,1473,42,33,2663,890,1455,1871,1394,57,26,2147,80,259,2065,260,1707,595,1908,3794,1,2959,4173,3245,3903,4141,3728,4400,3708,4156
Jackson Kuwatch,145075,LB,MIAMI OH,6,8,0,71.4,0,0,221,0,0,61.9,75.5,82.7,66.9,82.7,80.7,0,3,0,0,17,6.3,2,0,0,92.6,5,3,0,225,0,116,263,24,0,0,23,1,0,239,35,112,14,14,22,2,7,6,0,52,13,10.4,Miami (OH),221,Miami (OH),199,289,425,428,341,32,1855,527,683,897,174,423,1190,854,66,505,1451,1002,83,16,152,1473,783,753,1664,890,1455,922,1184,1376,693,1252,853,1085,220,391,294,1225,637,3289,1,1883,2682,1,3289,3258,1,3288,2891,3333
Jordan van den Berg,145085,DI,GA TECH,6,1,0,0,0,0,176,0,0,60,78.1,82.7,67.2,80.5,64.4,2,12,0,0,0,16.7,2,0,0,0,0,0,0,0,0,0,232,232,83,132,2,15,0,0,130,102,0,7,9,4,0,14,0,0,0,0,Georgia Tech,176,Georgia Tech,199,2423,425,428,341,32,2326,328,683,866,265,2336,226,72,66,505,2413,1002,1154,16,3165,1473,3462,1022,219,69,181,2263,511,1376,3417,177,1065,2490,949,1468,42,2628,143,1,1,3015,2682,1,1,1,1,29,17,29
Liam Clifford,145089,WR,PENN STATE,1,0,0,0,0,0,266,0,0,0,60,60,0,60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Penn State,266,Penn State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davon Townley Jr.,145091,ED,MO STATE,6,3,4,0,1,0,230,0,0,67.5,57.4,0,56.4,66,44.9,0,8,0,1,0,23.1,3,0,4,0,0,0,0,0,0,4,200,200,0,0,184,16,0,0,125,71,0,6,7,1,1,8,0,0,0,0,Missouri State,0,Missouri State,199,1362,1,428,341,32,922,3636,4253,2944,2014,3515,1190,208,66,109,2413,1002,1154,16,3165,1473,2812,1326,366,890,1455,148,484,1376,3417,213,1729,2490,1185,1823,700,2167,415,1,4332,3688,3309,4506,1,1,1,29,17,29
Dominic DeLuca,145095,LB,PENN STATE,6,13,0,66.7,0,0,266,0,0,54.7,67.8,80.9,71.9,75,62.2,1,2,0,0,12,15,6,0,0,76.6,6,1,0,189,0,97,245,24,0,0,24,0,0,221,20,128,32,12,21,1,9,4,0,41,27,6.8,Penn State,266,Penn State,199,58,425,428,341,32,3263,1654,1240,492,730,2495,489,1135,66,505,1844,1002,433,16,231,1473,955,904,1664,890,1455,900,1394,1376,783,1624,561,608,352,425,700,1008,965,2977,1,2884,4173,1,2746,3416,1,3124,3388,2599
Zakee Wheatley,145099,S,PENN STATE,6,14,0,71.4,0,0,266,1,0,79.7,83.8,83.2,53.9,87.7,85.6,0,0,0,0,12,6.3,3,1,0,80.1,5,0,0,103,1,148,308,0,0,0,0,0,166,308,7,153,38,14,31,1,7,0,0,31,11,6.2,Penn State,266,Penn State,199,43,425,428,23,32,143,107,523,3373,58,101,1190,2336,66,505,1844,425,1154,16,566,1128,482,423,3532,890,1455,3016,1394,73,316,2250,247,521,220,109,700,1225,2602,3289,1,1883,3309,1,2903,3258,1,2952,2808,2525
Rodney McGraw,145101,ED,W MICHIGAN,7,4,0,0,0,1,347,1,0,58.8,71.5,85.4,68.7,70.2,84.7,4,7,0,0,0,5.6,1,0,0,0,0,4,0,3,0,8,260,257,5,59,162,31,0,3,146,106,0,15,13,1,0,15,0,0,0,0,Western Michigan,347,Western Michigan,1,1027,425,64,23,32,2864,1015,125,737,1341,138,50,263,66,505,2413,1002,39,16,2480,1473,2485,782,136,578,491,207,275,1376,2932,95,987,2490,178,978,700,2628,113,1,1,1829,1727,1,1,1,1,29,17,29
Yannis Karlaftis,145120,LB,NWESTERN,5,4,0,50,0,0,256,0,0,60,54.2,74.6,70.2,46.3,62,1,2,0,0,12,16.7,2,1,0,62.5,2,0,0,41,0,23,68,4,0,0,4,0,0,64,4,41,23,1,6,0,4,3,0,18,7,9,Northwestern,256,Northwestern,2191,1027,425,428,341,32,2326,3974,2740,611,4342,2508,489,1135,66,505,1844,425,1154,16,1062,1473,1876,2823,2663,890,1455,1871,1394,1376,1661,2597,2522,790,2947,2051,1707,1568,1189,2338,1,3015,2682,1,2484,2567,1,2655,2582,3011
Rickey Smith,145122,CB,MIDDLE TN,5,2,0,85.7,0,0,224,0,0,42.9,48.9,81.2,51.2,71.2,51.9,0,0,0,0,36,20,2,0,0,142.6,12,0,0,7,0,48,106,2,0,0,2,0,1,104,7,51,95,2,6,0,14,0,1,178,51,14.8,Middle Tennessee,224,Middle Tennessee,2191,1851,425,428,341,32,3810,4321,1140,3552,1184,3158,1190,2336,66,505,518,1002,1154,16,2110,1473,1465,2348,2956,890,1455,2263,1394,1112,1384,2250,2248,150,2445,2051,1707,595,2602,3794,1,3355,2682,1,4399,4141,3728,4356,3912,4019
Khordae Sydnor,145124,ED,VANDERBILT,6,3,1,0,0,0,333,1,0,57.8,76.1,85.3,75.4,71.8,55,2,15,0,0,0,26.7,4,0,0,0,0,2,0,0,0,11,233,233,0,18,198,17,0,0,137,85,0,10,8,3,0,19,0,0,0,0,Vanderbilt,333,Vanderbilt,199,1362,66,428,23,32,2965,481,132,317,1095,2949,226,26,66,505,2413,1002,188,16,3165,1473,2311,1014,212,890,812,117,468,1376,3417,140,1399,2490,521,1653,116,2628,54,1,1,3943,3689,1,1,1,1,29,17,29
Don Munnerlyn,145126,ED,UTSA,6,2,1,100,0,0,331,0,0,50.2,53.6,30.1,58,58.9,58.4,1,2,0,0,16,25,1,0,1,116.7,3,1,0,10,0,28,150,128,0,0,128,0,1,22,61,61,11,1,1,0,3,4,0,36,15,12,UTSA,331,UTSA,199,1851,66,428,341,32,3575,4033,3917,2558,3441,2735,489,1135,66,505,1517,1002,433,16,1919,1473,1777,1835,800,890,1455,301,1394,1112,2212,854,1972,1222,2947,3496,1707,1712,965,3917,1,3759,1727,3245,3962,2868,1,3039,2974,3624
Al-Shadee Salaam,145129,CB,RUTGERS,6,3,0,72.7,1,0,278,0,0,49.1,51.4,0,55.4,75.6,70.3,0,0,0,0,25,10,1,1,2,104.7,8,0,0,3,116,71,124,2,0,0,2,0,0,122,1,52,3,0,6,0,11,0,0,111,25,13.9,Rutgers,278,Rutgers,199,1362,425,428,341,32,3639,4179,4253,3144,659,1898,1190,2336,66,505,937,425,1154,16,2480,371,1209,2134,2956,890,1455,2263,1394,1376,1280,3256,2223,1864,3617,2051,1707,828,2602,3353,4332,2262,1727,4109,3691,3714,1,3978,3326,3918
Jordan Thompson,145140,ED,RUTGERS,6,3,0,0,0,0,278,0,0,70.8,59.8,84.8,52.2,63,35.2,0,5,0,0,0,26.7,4,0,0,0,0,1,0,0,0,4,156,156,45,32,73,6,0,0,100,52,0,4,8,2,0,6,0,0,0,0,Rutgers,278,Rutgers,199,1362,425,428,341,32,604,3303,184,3514,2563,3810,1190,461,66,505,2413,1002,433,16,3165,1473,2812,1771,624,150,660,501,805,1376,3417,410,2223,2490,1726,1653,294,2628,637,1,1,3943,3689,1,1,1,1,29,17,29
Austin Dean,145145,LB,RUTGERS,3,0,0,0,0,0,278,0,0,49.3,47.9,74.7,59.2,58.8,26,0,1,0,0,0,0,0,0,0,39.6,0,0,0,11,0,3,15,4,0,0,4,0,0,11,1,11,0,0,1,0,1,1,0,0,0,0,Rutgers,278,Rutgers,3247,3291,425,428,341,32,3627,4360,2725,2213,3464,4087,1190,1587,66,505,2413,1002,1154,16,1856,1473,2930,3940,2663,890,1455,1871,1394,1376,2519,3256,3654,2490,3617,3496,1707,2167,1908,1,1,1,1,1,2023,1,1,29,17,29
Zaire Angoy,145149,DI,RUTGERS,6,2,1,0,0,0,278,0,0,60,57,80.2,58.5,57.4,25.9,0,1,0,0,0,37.5,3,0,0,0,0,0,0,0,0,0,162,162,2,160,0,0,0,0,81,81,0,3,3,0,0,1,0,0,0,0,Rutgers,278,Rutgers,199,1851,66,428,341,32,2326,3692,1452,2415,3622,4092,1190,1587,66,505,2413,1002,1154,16,3165,1473,3462,1708,595,716,113,3016,1394,1376,3417,617,1512,2490,2065,2761,1707,2628,1908,1,1,4278,3309,1,1,1,1,29,17,29
Cam'Ron Stewart,145151,ED,TEMPLE,6,2,1,0,0,0,306,0,0,60.8,92.7,27.9,92.9,74.6,58.1,3,17,0,0,0,38.5,5,0,1,0,0,4,0,1,0,3,122,120,0,0,120,0,0,2,81,38,1,8,6,3,0,24,0,0,0,0,Temple,306,Temple,199,1851,66,428,341,32,2140,6,3945,8,775,2754,106,12,66,505,2413,1002,39,16,2802,1473,2930,2158,851,890,1455,326,1394,1376,2999,617,2611,2208,763,2051,116,2628,12,1,1,4295,3975,3245,1,1,1,29,17,29
Henry Hughes Jr.,145152,DI,RUTGERS,5,0,0,0,0,0,278,1,0,0,50.9,78.7,57.1,50.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,16,11,0,0,0,0,10,17,0,0,0,0,0,0,0,0,0,0,Rutgers,278,Rutgers,2191,3291,425,428,23,32,3918,4206,1849,2774,4179,4198,1190,2336,66,505,2413,1002,1154,16,3165,1473,3462,3569,1614,369,936,3016,1394,1376,3417,2021,3338,2490,3617,3974,1707,2628,2602,1,1,1,1,1,1,1,1,29,17,29
Keshon Griffin,145153,DI,RUTGERS,6,1,0,0,0,0,278,0,0,60,57.6,45.5,66.5,52.7,33.2,0,8,0,0,0,28.6,2,0,1,0,0,0,0,0,0,0,181,181,124,57,0,0,0,0,92,89,0,3,4,2,0,8,0,0,0,0,Rutgers,278,Rutgers,199,2423,425,428,341,32,2326,3610,3778,940,4041,3843,1190,208,66,505,2413,1002,1154,16,3165,1473,3462,1526,481,27,504,3016,1394,1376,3417,497,1314,2490,2065,2501,294,2628,415,1,1,4004,2682,3245,1,1,1,29,17,29
Owen Arnett,145161,CB,WISCONSIN,1,0,0,0,0,0,349,0,0,50.7,49.8,73.1,0,0,0,0,0,0,0,0,0,0,0,0,39.6,0,0,0,0,0,7,7,0,0,0,0,0,0,7,0,0,7,0,0,0,1,0,0,0,0,0,Wisconsin,349,Wisconsin,4155,3291,425,428,341,32,3545,4263,3026,3662,4529,4198,1190,2336,66,505,2413,1002,1154,16,3165,1473,2560,4332,3532,890,1455,3016,1394,1376,2689,3637,4529,1452,3617,3974,1707,2167,2602,1,1,1,1,1,2023,1,1,29,17,29
T.J. Bollers,145165,DI,CAL,6,6,0,0,0,0,130,0,0,60,62.9,80.9,63.6,60.1,74,0,7,0,0,0,4.8,1,0,1,0,0,0,0,0,0,0,215,215,0,167,4,44,0,0,113,102,0,9,14,1,0,7,0,0,0,0,California,130,California,199,539,425,428,341,32,2326,2701,1240,1355,3133,1398,1190,263,66,505,2413,1002,1154,16,3165,1473,3462,1170,289,890,98,1871,164,1376,3417,302,1065,2490,630,895,700,2628,512,1,1,1784,1727,3245,1,1,1,29,17,29
Ricardo Hallman,145169,CB,WISCONSIN,6,0,0,65.4,0,0,349,0,0,59.1,58.4,82.9,0,52.5,48.2,0,0,0,1,37,22.7,5,2,1,114.7,17,0,0,10,319,198,333,0,0,0,0,0,0,333,0,135,4,5,17,0,26,0,3,223,24,13.1,Wisconsin,349,Wisconsin,199,3291,425,428,341,32,2817,3502,619,3662,4055,3362,1190,2336,66,109,494,179,1154,16,1919,38,110,267,3532,890,1455,3016,1394,1376,208,3637,460,1729,1426,658,1707,97,2602,2973,1,3674,3975,3245,3939,4429,4483,4447,3302,3821
Mike Jarvis,145171,DI,LIBERTY,6,4,1,0,1,0,206,0,0,60,52.1,50.3,57.5,51,57.1,0,3,0,0,0,10,1,0,1,0,0,0,0,1,0,0,231,230,131,99,0,0,0,1,95,136,0,4,5,1,0,3,0,0,0,0,Liberty,206,Liberty,199,1027,66,428,341,32,2326,4140,3735,2662,4144,2830,1190,854,66,505,2413,1002,1154,16,2802,1473,3462,1033,225,16,304,3016,1394,1376,3120,476,444,2490,1726,2272,700,2628,1189,1,4332,2262,1727,3245,1,1,1,29,17,29
Darryl Peterson,145175,ED,WISCONSIN,6,5,1,0,0,0,349,0,0,61.8,88.6,81.8,82.5,82.9,74.3,2,9,0,0,0,6.3,1,0,0,0,0,2,0,0,0,2,161,161,0,17,104,40,0,0,100,59,0,11,10,4,0,13,0,0,0,0,Wisconsin,349,Wisconsin,199,738,66,428,341,32,1884,46,954,105,166,1319,226,167,66,505,2413,1002,188,16,3165,1473,3050,1720,600,890,822,377,192,1376,3417,410,2027,2490,434,1327,42,2628,171,1,1,1883,1727,1,1,1,1,29,17,29
Garrison Solliday,145181,LB,WISCONSIN,1,0,0,0,0,0,349,0,0,60,60.8,68.4,79.8,60,73.6,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,4,0,0,0,0,0,0,4,2,1,0,1,0,0,0,1,0,0,0,0,Wisconsin,349,Wisconsin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jayden Williams,145199,S,UCF,2,3,0,100,0,0,323,0,0,62.3,66.1,79.2,0,72,47.2,0,0,0,0,4,30,3,0,0,83.3,1,0,0,31,1,45,84,0,0,0,0,0,18,84,0,39,34,3,4,0,1,0,0,4,5,4,UCF,323,UCF,3692,1362,425,428,341,32,1758,1998,1711,3662,1071,3414,1190,2336,66,505,2289,1002,1154,16,1203,1128,1511,2622,3532,890,1455,3016,1394,554,1528,3637,2585,573,2065,2501,1707,2167,2602,3917,1,4065,3309,1,2977,2104,1,2221,2457,2271
Jacob Merrifield,145209,DI,USF,6,3,1,0,0,0,327,0,0,63.1,63.4,80.4,59.4,61.3,61.9,0,1,0,0,0,12.5,1,0,1,0,0,1,0,0,0,0,173,173,2,146,0,25,0,0,85,88,0,5,4,1,0,2,0,0,0,0,USF,327,USF,199,1362,66,428,341,32,1591,2586,1399,2146,2884,2513,1190,1587,66,505,2413,1002,433,16,3165,1473,3462,1599,525,716,144,3016,351,1376,3417,572,1334,2490,1426,2501,700,2628,1480,1,1,2552,1727,3245,1,1,1,29,17,29
Brian Blades II,145225,CB,FIU,3,2,0,66.7,1,0,166,0,0,76.9,76.9,81,55.5,71.4,85,0,0,0,0,28,0,0,2,1,84,6,0,0,6,157,109,181,0,0,0,0,0,7,181,2,70,11,2,9,0,9,0,0,57,17,9.5,Florida International,166,Florida International,3247,1851,425,428,341,32,233,408,1208,3127,1144,124,1190,2336,66,505,797,179,1154,16,2184,296,849,1526,3532,890,1455,3016,1394,724,970,3007,1750,1222,2445,1468,1707,1008,2602,2977,4332,1,1,3245,3012,3416,1,3375,3061,3130
Demetrius Hill,145227,S,FIU,4,2,0,33.3,0,0,166,0,0,81.2,68,76.9,58.9,46.8,47.9,0,1,0,0,3,25,2,1,0,42.4,1,0,0,18,0,17,40,3,0,0,3,0,14,37,2,21,5,2,4,0,3,1,0,3,0,3,Florida International,166,Florida International,2805,1851,425,428,341,32,112,1607,2290,2300,4323,3377,1190,1587,66,505,2335,425,1154,16,1540,1473,2048,3274,2771,890,1455,2016,1394,604,1938,3007,3164,1626,2445,2501,1707,1712,1908,2144,1,3759,2682,1,2226,2104,1,2190,17,2214
Keegan Davis,145234,ED,FIU,5,5,0,0,0,0,166,0,0,58.4,57.9,87.3,62.7,50.2,57.5,1,11,0,0,0,14.3,2,0,0,0,0,2,0,4,0,1,253,248,0,3,229,16,0,5,158,94,0,8,7,0,0,14,0,0,0,0,Florida International,166,Florida International,2191,738,425,428,341,32,2904,3575,27,1471,4188,2790,489,97,66,505,2413,1002,188,16,2368,1473,3176,842,160,890,1209,73,484,1376,2832,53,1225,2490,763,1823,1707,2628,143,1,1,2736,2682,1,1,1,1,29,17,29
Jordan Guerad,145236,DI,LOUISVILLE,5,3,1,0,0,0,210,0,0,60,75.3,81.5,68.3,75,61.9,2,2,0,0,0,7.7,1,0,0,0,0,1,0,0,0,0,187,187,33,136,3,15,0,0,101,86,0,10,9,2,0,5,0,0,0,0,Louisville,0,Louisville,2191,1362,66,428,341,32,2326,551,1068,766,730,2513,226,1135,66,505,2413,1002,433,16,3165,1473,3462,1471,450,204,167,2016,511,1376,3417,396,1382,2490,521,1468,294,2628,780,1,1,2007,1727,1,1,1,1,29,17,29
