player,player_id,position,team_name,2025 Team,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,rank_player_game_count,rank_assists,rank_batted_passes,rank_forced_fumbles,rank_fumble_recoveries,rank_fumble_recovery_touchdowns,rank_grades_coverage_defense,rank_grades_defense,rank_grades_defense_penalty,rank_grades_pass_rush_defense,rank_grades_run_defense,rank_grades_tackle,rank_hits,rank_hurries,rank_interception_touchdowns,rank_interceptions,rank_longest,rank_pass_break_ups,rank_sacks,rank_safeties,rank_snap_counts_box,rank_snap_counts_corner,rank_snap_counts_coverage,rank_snap_counts_defense,rank_snap_counts_dl,rank_snap_counts_dl_a_gap,rank_snap_counts_dl_b_gap,rank_snap_counts_dl_outside_t,rank_snap_counts_dl_over_t,rank_snap_counts_fs,rank_snap_counts_offball,rank_snap_counts_pass_rush,rank_snap_counts_run_defense,rank_snap_counts_slot,rank_stops,rank_tackles,rank_tackles_for_loss,rank_targets,rank_total_pressures,rank_catch_rate,rank_declined_penalties,rank_missed_tackle_rate,rank_missed_tackles,rank_penalties,rank_qb_rating_against,rank_receptions,rank_touchdowns,rank_yards,rank_yards_after_catch,rank_yards_per_reception
Jacob Fields,170457,S,LA TECH,Louisiana Tech,3,4,0,77.8,0,0,208,0,0,41.2,46.5,0,53.5,67.9,61.8,0,1,0,0,41,13,3,3,2,158.3,7,0,0,52,0,105,179,1,0,0,1,0,109,178,6,68,17,3,16,1,9,1,2,133,20,19,73,244,230,214,166,19,3288,4019,3879,2987,1437,2381,737,943,33,270,180,14,711,10,505,1120,72,141,2628,735,1286,1929,1153,18,114,1854,337,530,1028,84,305,321,1263,3300,1,2681,3702,4052,4137,3902,4132,4128,3453,3955
Obinna Okeke,170464,ED,NEW MEX ST,New Mexico State,3,3,0,0,0,0,242,0,0,60,60,14.4,58.9,64.3,79.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,82,82,0,2,77,3,0,0,41,40,0,2,5,0,0,1,0,0,0,0,73,464,230,214,166,19,2004,2922,3809,1993,2046,518,189,1691,33,270,1950,632,711,10,2676,1120,2777,1532,489,735,1109,193,749,1095,2937,536,1323,2115,1502,1201,1063,2196,1263,1,1,1,1,3446,1,1,1,37,18,37
Michael Richard,170466,S,LA TECH,Louisiana Tech,3,3,0,76.9,0,0,208,0,0,56,57.3,79.3,60,60,46.5,0,0,0,1,38,25,4,0,0,87.7,10,0,0,84,2,93,151,0,0,0,0,0,13,151,1,57,52,5,9,0,13,0,1,87,39,8.7,73,464,230,214,166,19,2676,3317,990,1535,2865,3041,737,1691,33,34,231,632,711,10,255,781,165,381,3005,735,1286,2407,1153,484,288,2728,637,135,499,501,1063,123,2030,3295,1,3355,3944,1,3140,4100,3776,3958,3862,3022
Sam Brumfield,170479,LB,MEMPHIS,Memphis,3,7,0,85.7,0,1,218,0,0,72.9,76.9,81.3,65.8,74,61.3,3,3,0,0,14,15,3,0,0,89.3,6,4,0,140,1,74,151,6,0,0,6,0,2,145,33,44,2,9,10,1,7,10,0,38,30,6.3,73,51,230,13,166,19,372,411,353,886,673,2409,16,315,33,270,1105,632,5,10,62,861,427,381,1988,735,1286,1163,1153,757,346,729,1134,1593,106,406,305,503,34,3460,1,2820,3702,1,3160,3769,1,3370,3702,2687
Anthony Bynum,170480,ED,MIDDLE TN,Middle Tennessee,3,7,0,100,0,0,224,0,0,65.6,65.1,40.8,50.8,73.4,81.8,0,1,0,0,1,0,0,0,1,79.2,1,0,0,0,0,0,183,183,0,30,118,35,0,0,96,87,0,5,7,0,1,1,0,1,4,1,73,51,230,214,166,19,958,2022,3718,3092,735,300,737,943,33,270,1933,632,711,10,2676,1120,3027,114,5,735,468,54,53,1095,2937,15,93,2115,499,794,1063,1725,1263,3533,1,1,1,3446,2831,2198,1,2251,2594,2254
Cam'ron Lacy,170486,WR,MIDDLE TN,Middle Tennessee,1,0,0,0,0,0,224,0,0,0,62.4,60,0,62.4,68.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jekail Middlebrook,170487,HB,MIDDLE TN,Middle Tennessee,1,0,0,0,0,0,224,0,0,0,60,60,0,60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chayce Smith,170490,ED,MIDDLE TN,Middle Tennessee,2,1,0,0,0,0,224,0,0,60.9,72,75.9,63.9,72.1,77.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,18,1,0,17,0,0,0,7,10,0,2,3,0,0,1,0,0,0,0,2465,1489,230,214,166,19,1798,862,2222,1092,893,804,737,943,33,270,1950,632,711,10,2676,1120,2777,3331,1455,630,1286,750,1153,1095,2937,1774,3180,2115,1502,1803,1063,2196,1263,1,1,1,1,1,1,1,1,37,18,37
Shakai Woods,170495,DI,MIDDLE TN,Middle Tennessee,3,2,0,0,0,0,224,0,0,60,66.1,81.5,53.8,70.8,70.8,0,0,0,0,0,6.7,1,0,0,0,0,1,0,1,0,0,156,155,53,102,0,0,0,1,71,85,0,10,12,2,0,1,0,0,0,0,73,855,230,214,166,19,2004,1823,307,2959,1055,1893,737,1691,33,270,1950,632,178,10,2385,1120,3027,330,34,32,44,2407,1153,1095,2718,108,113,2115,69,266,73,2196,1263,1,1,2248,2199,1,1,1,1,37,18,37
Da'Marcus Crosby II,170496,S,VIRGINIA,Virginia,1,1,0,100,0,0,335,0,0,60.7,62.4,77.1,0,63.9,40.1,0,0,0,0,8,33.3,1,0,0,100,1,0,0,6,0,18,27,0,0,0,0,0,15,27,0,9,6,0,1,0,1,0,0,8,0,8,3554,1489,230,214,166,19,1855,2509,1823,3161,2121,3234,737,1691,33,270,1556,632,711,10,1704,1120,1597,2978,3005,735,1286,2407,1153,454,1721,3142,3277,1085,2999,2822,1063,1725,2030,3533,1,3675,2199,1,3427,2198,1,2512,18,2904
