player,player_id,position,team_name,2025 Team,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,rank_player_game_count,rank_assists,rank_batted_passes,rank_forced_fumbles,rank_fumble_recoveries,rank_fumble_recovery_touchdowns,rank_grades_coverage_defense,rank_grades_defense,rank_grades_defense_penalty,rank_grades_pass_rush_defense,rank_grades_run_defense,rank_grades_tackle,rank_hits,rank_hurries,rank_interception_touchdowns,rank_interceptions,rank_longest,rank_pass_break_ups,rank_sacks,rank_safeties,rank_snap_counts_box,rank_snap_counts_corner,rank_snap_counts_coverage,rank_snap_counts_defense,rank_snap_counts_dl,rank_snap_counts_dl_a_gap,rank_snap_counts_dl_b_gap,rank_snap_counts_dl_outside_t,rank_snap_counts_dl_over_t,rank_snap_counts_fs,rank_snap_counts_offball,rank_snap_counts_pass_rush,rank_snap_counts_run_defense,rank_snap_counts_slot,rank_stops,rank_tackles,rank_tackles_for_loss,rank_targets,rank_total_pressures,rank_catch_rate,rank_declined_penalties,rank_missed_tackle_rate,rank_missed_tackles,rank_penalties,rank_qb_rating_against,rank_receptions,rank_touchdowns,rank_yards,rank_yards_after_catch,rank_yards_per_reception
Mason White,43872,S,OREGON ST,Oregon State,2,0,0,0,0,0,265,0,0,48.9,40.5,75.6,56.7,35.5,81,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,13,35,0,0,0,0,0,15,35,2,20,2,0,3,0,0,0,0,0,0,0,2465,2533,230,214,166,19,3110,4120,2310,2521,4141,366,737,1691,33,270,1950,632,711,10,1133,781,1775,2734,3005,735,1286,2407,1153,454,1582,2452,2441,1593,2999,1803,1063,2196,2030,1,1,1,1,1,1,1,1,37,18,37
James Camden,53418,LB,W MICHIGAN,Western Michigan,3,6,0,83.3,0,1,347,0,0,74.4,63.8,79.3,63.1,49.4,46.1,0,1,0,0,23,21.4,3,0,0,137.5,5,1,0,140,0,65,156,7,0,0,7,0,0,149,20,71,9,3,5,1,6,2,1,45,38,9,73,89,230,13,166,19,294,2253,990,1172,3829,3054,737,943,33,270,601,632,178,10,62,1120,564,330,1926,735,1286,1104,1153,1095,306,1100,276,884,1028,1201,305,650,855,3414,1,3249,3702,1,4046,3604,3776,3490,3855,3052
Iesa Jarmon,53981,CB,AKRON,Akron,1,0,0,100,0,0,102,0,0,49.4,49.5,71,0,60,21.7,0,0,0,0,37,100,1,0,0,158.3,2,0,0,1,11,8,12,0,0,0,0,0,0,12,0,4,0,0,0,0,2,0,2,49,21,24.5,3554,2533,230,214,166,19,3082,3915,3363,3161,2865,3721,737,1691,33,270,245,632,711,10,2385,619,2049,3656,3005,735,1286,2407,1153,1095,2152,3142,3832,2115,2999,3465,1063,1412,2030,3533,1,4127,2199,1,4137,2727,4132,3565,3483,4082
Malik Denkins,55516,ED,C MICHIGAN,Central Michigan,3,2,0,0,0,0,134,0,0,0,57.7,76.4,57.4,57.9,76.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,5,0,21,6,0,0,8,24,0,2,2,0,0,0,0,0,0,0,73,855,230,214,166,19,3356,3262,2066,2339,3241,1001,737,1691,33,270,1950,632,711,10,2676,1120,3027,2806,1189,433,1286,667,542,1095,2937,1695,2201,2115,1502,2270,1063,2196,2030,1,1,1,1,1,1,1,1,37,18,37
Shaun Myers,62235,LB,COLORADO,Colorado,3,4,0,80,0,0,143,0,0,75.7,78.3,79,56,74.2,82.7,0,0,0,0,8,0,0,0,0,118.8,4,0,0,71,1,30,76,2,0,0,2,0,0,74,3,43,2,1,4,0,5,0,1,14,18,3.5,73,244,230,214,166,19,240,325,1107,2658,646,224,737,1691,33,270,1556,632,711,10,334,861,1283,1680,2437,735,1286,1678,1153,1095,1073,2258,1182,1593,2108,1468,1063,805,2030,3320,1,1,1,1,3760,3382,3776,2737,3378,2393
Will Whitson,64470,ED,MISS STATE,Mississippi State,2,2,0,0,0,0,227,0,0,0,81.4,76.9,75.3,75.4,78.8,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,46,46,0,2,29,15,0,0,28,18,0,5,3,3,0,6,0,0,0,0,2465,855,230,214,166,19,3356,185,1894,243,533,623,737,183,33,270,1950,632,44,10,2676,1120,3027,2433,969,735,1109,562,242,1095,2937,861,2577,2115,499,1803,15,2196,173,1,1,1,1,1,1,1,1,37,18,37
Mister Williams,70521,LB,S DIEGO ST,San Diego State,2,2,0,0,0,0,284,0,0,67.5,72.3,76.2,57.3,73.4,54.4,0,0,0,0,0,0,0,0,0,39.6,0,0,0,39,0,23,53,5,0,0,5,0,0,48,3,27,9,3,3,0,2,0,0,0,0,0,2465,855,230,214,166,19,757,830,2132,2363,735,2700,737,1691,33,270,1950,632,711,10,666,1120,1457,2259,2080,735,1286,1257,1153,1095,1416,2258,2035,884,1028,1803,1063,1412,2030,1,1,1,1,1,2101,1,1,37,18,37
Ben Florentine,70644,DI,WYOMING,Wyoming,3,4,0,0,0,0,351,0,0,0,69.8,80.6,66.1,68.5,77,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,132,132,14,91,2,25,0,0,74,58,0,5,2,0,0,4,0,0,0,0,73,244,230,214,166,19,3356,1183,540,850,1356,854,737,943,33,270,1950,632,14,10,2676,1120,3027,613,92,227,69,1678,122,1095,2937,90,604,2115,499,2270,1063,2196,367,1,1,1,1,1,1,1,1,37,18,37
Korey Foreman,70831,ED,FRESNO ST,Fresno State,4,1,0,100,0,0,169,0,0,42.5,56.1,82.3,58.6,66.7,70.2,0,2,0,0,17,11.1,1,0,0,118.8,2,2,0,0,0,5,113,113,0,3,107,3,0,0,63,45,0,6,7,1,2,4,0,33,10,16.5,1,1489,230,214,166,19,3269,3448,185,2073,1619,1923,737,545,33,270,902,632,44,10,2676,1120,2300,910,202,735,1058,79,749,1095,2937,172,1088,2115,333,794,305,1412,367,3533,1,2485,2199,1,3760,2727,1,3282,2989,3852
Anthony Hebert,70875,S,DELWARE ST,Delaware State,1,0,0,100,0,0,152,0,0,54,62.9,76.4,76.1,70.3,84,0,0,0,0,17,0,0,0,0,142.4,3,1,0,20,0,33,58,2,0,0,2,0,33,56,1,24,3,3,5,0,3,1,2,26,1,8.7,3554,2533,230,214,166,19,2827,2411,2066,222,1114,155,737,1691,33,270,902,632,178,10,1010,1120,1217,2129,2437,735,1286,1678,1153,319,1304,2728,2201,1436,1028,1201,1063,1175,1263,3533,1,1,1,1,4067,3098,4132,3128,2346,3022
Calvin Pitcher,70877,LB,UAB,UAB,3,4,0,100,0,0,321,0,0,53.8,66.8,79.6,55,75.4,74.6,0,1,0,0,65,9.1,1,0,0,118.8,1,1,0,56,0,17,78,15,0,0,15,0,0,63,6,55,7,2,6,0,1,2,0,65,59,65,73,244,230,214,166,19,2837,1689,875,2828,533,1291,737,943,33,270,38,632,178,10,454,1120,1626,1631,1538,735,1286,796,1153,1095,1216,1854,711,1005,1502,986,1063,1725,855,3533,1,2372,2199,1,3760,2198,1,3769,4072,4189
Tate Romney,70946,LB,ARIZONA ST,Arizona State,3,1,0,0,0,0,110,0,0,75.6,72.5,73.5,0,61.3,79.1,0,0,0,0,0,0,0,1,0,39.6,0,0,0,25,0,14,29,0,0,0,0,0,0,29,0,15,4,0,3,0,1,0,0,0,0,0,73,1489,230,214,166,19,242,807,2873,3161,2580,584,737,1691,33,270,1950,158,711,10,899,1120,1742,2900,3005,735,1286,2407,1153,1095,1677,3142,2768,1310,2999,1803,1063,1725,2030,1,1,1,1,1,2101,1,1,37,18,37
Domani Jackson,71370,CB,ALABAMA,Alabama,3,1,0,0,0,0,103,0,0,67.3,67.9,0,69.1,71.1,85.2,0,1,0,0,0,0,0,0,2,39.6,0,0,0,16,105,55,130,4,0,0,4,0,5,126,2,73,0,4,9,0,1,1,0,0,0,0,73,1489,230,214,166,19,769,1481,3879,585,1023,99,737,943,33,270,1950,632,711,10,1133,175,727,641,2199,735,1286,1369,1153,643,511,2452,253,2115,713,501,1063,1725,1263,1,1,1,1,4052,2101,1,1,37,18,37
Keanu Tanuvasa,71398,DI,BYU,BYU,2,2,0,0,0,0,128,0,0,68,68.8,78.3,67.3,60.6,52.6,1,3,0,0,0,20,1,0,0,0,0,1,0,0,0,0,58,58,34,21,0,3,0,0,37,21,0,3,2,0,0,5,0,0,0,0,2465,855,230,214,166,19,727,1342,1403,737,2730,2789,189,315,33,270,1950,632,178,10,2676,1120,3027,2129,797,75,565,2407,749,1095,2937,624,2376,2115,1028,2270,1063,2196,262,1,1,3082,2199,1,1,1,1,37,18,37
Aaron Smith,71596,CB,NEW MEXICO,New Mexico,1,0,0,100,0,0,241,0,0,46.7,45.9,76.1,0,53.3,41.8,0,0,0,0,7,50,1,0,0,90.3,3,0,0,0,1,13,23,0,0,0,0,0,1,23,0,10,21,0,1,0,3,0,0,17,15,5.7,3554,2533,230,214,166,19,3186,4033,2151,3161,3622,3187,737,1691,33,270,1619,632,711,10,2676,861,1775,3108,3005,735,1286,2407,1153,862,1800,3142,3180,426,2999,2822,1063,1175,2030,3533,1,3948,2199,1,3186,3098,1,2838,3244,2590
DJ Harvey,72089,CB,USC,USC,3,1,0,55.6,0,0,326,0,0,52.8,53.9,77.4,0,63.5,48.1,0,0,0,0,33,25,1,0,0,128,5,0,0,2,66,51,72,0,0,0,0,0,1,72,0,21,3,0,2,0,9,0,1,92,7,18.4,73,1489,230,214,166,19,2894,3647,1723,3161,2192,2971,737,1691,33,270,317,632,711,10,2203,319,809,1775,3005,735,1286,2407,1153,862,1091,3142,2376,1436,2999,2270,1063,321,2030,2719,1,3355,2199,1,3994,3604,3776,3980,2802,3944
Solomone Langi,72318,DI,S JOSE ST,San Jose State,1,2,0,0,0,0,285,0,0,0,69.8,75.9,66.5,67.5,73.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,17,14,0,0,0,0,7,24,0,1,1,0,0,1,0,0,0,0,3554,855,230,214,166,19,3356,1183,2222,816,1505,1437,189,1691,33,270,1950,632,711,10,2676,1120,3027,2839,1203,188,667,2407,1153,1095,2937,1774,2201,2115,2108,2822,1063,2196,1263,1,1,1,1,1,1,1,1,37,18,37
Raider Damuni,72338,S,BYU,BYU,2,3,0,0,0,0,128,0,0,70.2,72.2,74.7,65.8,68.7,82.3,0,2,0,1,0,0,0,0,0,0,0,0,0,28,0,26,55,3,0,0,3,0,15,52,2,27,9,0,3,0,2,2,0,0,0,0,2465,464,230,214,166,19,577,838,2572,886,1328,251,737,545,33,34,1950,632,711,10,846,1120,1375,2202,2285,735,1286,1487,1153,454,1364,2452,2035,884,2999,1803,1063,1412,855,1,1,1,1,1,1,1,1,37,18,37
Justin Flowe,72388,LB,UNLV,UNLV,3,3,0,50,0,0,325,0,0,72.3,77.5,0,59.8,86.5,61.4,0,1,0,0,5,12.5,1,1,1,56.3,1,0,0,42,0,26,51,5,0,0,5,0,0,46,8,17,4,2,4,0,2,1,0,5,8,5,73,464,230,214,166,19,426,380,3879,1719,57,2402,737,943,33,270,1758,158,711,10,633,1120,1375,2309,2080,735,1286,1257,1153,1095,1434,1695,2643,1310,1502,1468,1063,1412,1263,2416,1,2582,2199,3446,2447,2198,1,2376,2875,2514
Ian Shewell,72474,DI,ARIZONA ST,Arizona State,1,0,0,0,0,0,110,0,0,60.2,62.2,70.3,58.1,60.9,71.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,0,8,0,1,0,0,5,3,0,0,1,0,0,0,0,0,0,0,3554,2533,230,214,166,19,1962,2542,3453,2194,2659,1849,737,1691,33,270,1950,632,711,10,2676,1120,2777,3829,1803,735,823,2407,950,1095,2937,1964,3960,2115,2999,2822,1063,2196,2030,1,1,1,1,1,1,1,1,37,18,37
Jadon Pearson,72538,LB,FRESNO ST,Fresno State,4,7,0,81.8,0,0,169,0,0,61.6,57.5,81.2,51.5,54.8,85.1,0,2,0,0,15,3.1,1,1,0,92.4,9,0,0,177,2,104,216,18,0,0,18,0,1,198,16,96,16,8,24,1,11,2,0,68,57,7.6,1,51,230,214,166,19,1618,3290,387,3081,3524,104,737,545,33,270,1021,158,711,10,12,781,80,19,1455,735,1286,732,1153,862,41,1253,48,560,151,11,305,194,855,3403,1,2199,2199,1,3255,4055,1,3814,4057,2869
Marco Notarainni,73389,LB,BOISE ST,Boise State,2,3,0,50,0,0,120,0,0,61.6,71.7,79.6,67.5,75.5,75,3,4,0,0,4,6.3,1,0,0,56.3,2,0,0,91,0,43,103,5,0,0,5,0,0,98,12,48,7,8,12,1,4,7,0,6,11,3,2465,464,230,214,166,19,1618,908,875,720,522,1228,16,183,33,270,1808,632,711,10,217,1120,984,1080,2080,735,1286,1257,1153,1095,800,1430,970,1005,151,266,305,964,111,2416,1,2239,2199,1,2447,2727,1,2407,3059,2335
Trent Whalen,73609,LB,ARKANSAS,Arkansas,2,0,0,100,0,0,111,0,0,48.9,53.3,69.8,63.1,60,78.8,0,1,0,0,21,0,0,0,0,118.8,3,0,0,9,0,8,10,0,0,0,0,0,0,10,0,2,1,1,2,0,3,1,0,44,23,14.7,2465,2533,230,214,166,19,3110,3695,3516,1172,2865,623,737,943,33,270,680,632,711,10,1474,1120,2049,3760,3005,735,1286,2407,1153,1095,2233,3142,4068,1813,2108,2270,1063,1175,1263,3533,1,1,1,1,3760,3098,1,3473,3537,3725
Gio De Leon,73658,LB,BUFFALO,Buffalo,2,0,0,0,0,0,126,0,0,62.9,54.1,73.7,58.1,60,73,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,5,0,1,4,0,0,3,3,2,0,1,1,0,0,0,0,0,0,0,2465,2533,230,214,166,19,1352,3631,2822,2194,2865,1654,737,1691,33,270,1950,632,711,10,2055,1120,2515,3888,2080,735,1185,1369,1153,1095,2604,2258,4068,2115,2108,2822,1063,2196,2030,1,1,1,1,1,1,1,1,37,18,37
Cory Hall,73699,DI,UNLV,UNLV,1,0,0,0,0,0,325,0,0,0,58.2,69.4,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3554,2533,230,214,166,19,3356,3197,3566,2213,4175,3761,737,1691,33,270,1950,632,711,10,2676,1120,3027,4111,2080,630,1008,2407,1153,1095,2937,1964,4175,2115,2999,3465,1063,2196,2030,1,1,1,1,1,1,1,1,37,18,37
Taariq Al-Uqdah,74119,LB,WASHINGTON,Washington,2,0,0,40,0,0,340,0,0,56.6,56.7,78.8,62.4,56.1,74.9,0,1,0,0,25,8.3,1,0,0,62.1,2,0,0,92,5,52,100,0,0,0,0,0,0,100,12,36,2,6,11,1,5,1,0,32,10,16,2465,2533,230,214,166,19,2637,3397,1191,1262,3408,1236,737,943,33,270,525,632,711,10,207,698,788,1136,3005,735,1286,2407,1153,1095,775,1430,1520,1593,333,326,305,805,1263,2341,1,2324,2199,1,2575,2727,1,3259,2989,3817
Ryan Quintanar,74152,LB,USC,USC,1,0,0,0,0,0,326,0,0,60,50.8,69.1,0,51.5,20,0,0,0,0,0,100,1,0,0,0,0,0,0,5,0,1,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,3554,2533,230,214,166,19,2004,3846,3600,3161,3733,3743,737,1691,33,270,1950,632,711,10,1815,1120,2777,4111,3005,735,1286,2407,1153,1095,2506,3142,3832,2115,2999,3465,1063,2196,2030,1,1,4127,2199,1,1,1,1,37,18,37
Justin Sinclair,74258,S,HAWAII,Hawaii,2,0,0,100,0,1,180,0,0,62.1,64.5,72.4,60,65.2,80.7,0,0,0,0,8,0,0,0,0,100,1,0,0,9,0,4,19,0,0,0,0,0,6,19,1,14,3,0,3,0,1,0,0,8,0,8,2465,2533,230,13,166,19,1497,2130,3097,1535,1871,393,737,1691,33,270,1556,632,711,10,1474,1120,2398,3287,3005,735,1286,2407,1153,614,1917,2728,2848,1436,2999,1803,1063,1725,2030,3533,1,1,1,1,3427,2198,1,2512,18,2904
Zion Branch,74395,S,GEORGIA,Georgia,2,0,0,0,0,0,173,0,0,78.1,77.4,74.8,0,69.1,84.1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,10,29,1,0,0,1,0,16,28,0,19,1,3,7,0,0,0,0,0,0,0,2465,2533,230,214,166,19,151,384,2540,3161,1279,151,737,1691,33,270,1950,632,711,10,1346,1120,1916,2900,2628,735,1286,1929,1153,444,1700,3142,2503,1813,1028,794,1063,2196,2030,1,1,1,1,1,1,1,1,37,18,37
Jaymar Mundy,75041,CB,OHIO,Ohio,3,0,0,66.7,1,0,259,0,0,63.2,57.5,0,0,53.8,53.5,0,0,0,0,14,33.3,1,0,1,86.8,2,0,0,1,40,24,41,0,0,0,0,0,0,41,0,17,0,0,2,0,3,0,0,21,3,10.5,73,2533,230,214,166,19,1302,3290,3879,3161,3597,2741,737,1691,33,270,1105,632,711,10,2385,413,1428,2557,3005,735,1286,2407,1153,1095,1498,3142,2643,2115,2999,2270,1063,1175,2030,2926,4086,3675,2199,3446,3103,2727,1,2969,2524,3290
Silas Walters,75263,S,MIAMI OH,Miami (OH),2,2,0,50,0,0,221,0,0,56.9,58.1,79.5,48.6,64,48.2,0,2,0,1,13,29.4,5,2,1,52.4,7,0,0,50,1,83,150,5,0,0,5,0,22,145,4,63,72,5,10,0,14,2,1,49,15,7,2465,855,230,214,166,19,2611,3208,913,3118,2099,2968,737,545,33,34,1192,48,711,10,534,861,278,395,2080,735,1286,1257,1153,388,346,2112,460,76,499,406,1063,87,855,2416,1,3645,4078,3446,2428,3902,3776,3565,3244,2757
Aneesh Vyas,75285,DI,WYOMING,Wyoming,3,1,0,0,0,0,351,0,0,60,58.4,79.4,53.1,57.6,74.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,107,107,19,68,2,18,0,0,65,42,0,2,6,0,0,0,0,0,0,0,73,1489,230,214,166,19,2004,3172,957,3014,3274,1281,737,1691,33,270,1950,158,711,10,2676,1120,3027,1019,240,165,146,1678,198,1095,2937,154,1236,2115,1502,986,1063,2196,2030,1,1,1,1,1,1,1,1,37,18,37
Bam Booker,76122,ED,BOWL GREEN,Bowling Green,3,1,0,0,0,0,122,0,0,0,63.3,79.5,59.1,65.1,73.4,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,109,108,4,38,54,12,0,1,65,44,0,1,1,0,0,3,0,0,0,0,73,1489,230,214,166,19,3356,2344,913,1939,1899,1561,737,315,33,270,1950,632,711,10,2385,1120,3027,985,234,471,389,346,314,1095,2718,154,1134,2115,2108,2822,1063,2196,567,1,1,1,1,1,1,1,1,37,18,37
Solomon Vanhorse,78573,HB,INDIANA,Indiana,1,0,0,0,0,0,190,0,0,0,60,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moroni Anae,81437,LB,UTAH,Utah,2,1,0,0,0,0,328,0,0,62.3,87.2,72.7,78.1,83.5,75.8,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,6,15,1,0,0,1,0,0,14,2,7,0,1,1,0,0,1,0,0,0,0,2465,1489,230,214,166,19,1469,65,3026,164,100,1093,737,943,33,270,1950,632,711,10,1210,1120,2207,3479,2628,735,1286,1929,1153,1095,2080,2452,3464,2115,2108,2822,1063,2196,1263,1,1,1,1,1,1,1,1,37,18,37
Brendon Harris,83446,S,MIDDLE TN,Middle Tennessee,3,3,0,50,0,0,224,0,0,71.9,67.5,79.1,59.4,58.9,83,0,0,0,0,1,0,0,0,0,56.3,1,0,0,27,1,36,79,12,0,0,12,0,28,67,1,42,11,3,4,1,2,0,0,1,-1,1,73,464,230,214,166,19,457,1547,1066,1855,3144,204,737,1691,33,270,1933,632,711,10,859,861,1152,1607,1656,735,1286,883,1153,346,1164,2728,1236,773,1028,1468,305,1412,2030,2416,1,1,1,1,2447,2198,1,2251,6,2254
Jayden Dunlap,85725,CB,BYU,BYU,2,0,0,0,0,0,128,0,0,60.4,64.3,73.5,71.4,60,21.8,0,0,0,0,0,100,1,0,0,0,0,0,0,3,23,17,27,0,0,0,0,0,0,27,1,9,1,0,0,0,0,0,0,0,0,0,2465,2533,230,214,166,19,1925,2165,2873,421,2865,3713,737,1691,33,270,1950,632,711,10,2055,498,1626,2978,3005,735,1286,2407,1153,1095,1721,2728,3277,1813,2999,3465,1063,2196,2030,1,1,4127,2199,1,1,1,1,37,18,37
Gracen Halton,85774,DI,OKLAHOMA,Oklahoma,3,1,0,0,0,0,261,0,0,0,69.2,77.9,67,66.2,50.7,0,5,0,0,0,20,1,0,0,0,0,0,0,0,0,0,69,69,7,51,2,9,0,0,40,29,0,3,3,1,0,5,0,0,0,0,73,1489,230,214,166,19,3356,1282,1551,761,1701,2872,737,101,33,270,1950,632,711,10,2676,1120,3027,1847,652,360,259,1678,415,1095,2937,558,1896,2115,1028,1803,305,2196,262,1,1,3082,2199,1,1,1,1,37,18,37
Kalib Perry,86267,LB,LOUISVILLE,Louisville,2,0,0,50,0,0,210,0,0,53.6,59.5,75.8,59.8,66.3,39.8,0,0,0,0,9,25,2,0,0,62.5,1,0,0,34,0,22,46,6,0,0,6,0,0,40,2,22,6,4,6,0,2,0,0,9,4,9,2465,2533,230,214,166,19,2851,2995,2255,1719,1687,3244,737,1691,33,270,1471,632,711,10,738,1120,1481,2433,1988,735,1286,1163,1153,1095,1511,2452,2329,1085,713,986,1063,1412,2030,2416,1,3355,3215,1,2579,2198,1,2552,2594,3052
Blake Ruffin,86298,S,LOUISVILLE,Louisville,1,2,0,100,0,0,210,0,0,65.3,67,74.3,60,65.2,76.8,0,0,0,0,7,0,0,0,0,95.8,1,0,0,6,0,7,20,4,0,0,4,0,0,16,1,12,10,0,0,0,1,0,0,7,10,7,3554,855,230,214,166,19,996,1651,2661,1535,1871,901,737,1691,33,270,1619,632,711,10,1704,1120,2123,3238,2199,735,1286,1369,1153,1095,2013,2728,2988,829,2999,3465,1063,1725,2030,3533,1,1,1,1,3315,2198,1,2460,2989,2757
Samuel Scaife IV,86521,S,DELWARE ST,Delaware State,1,0,0,50,0,0,152,0,0,52.9,55,78.5,0,63.1,76.2,0,0,0,0,18,0,0,0,0,75,2,0,0,11,0,47,66,0,0,0,0,0,51,66,0,19,4,0,0,0,4,0,0,30,6,15,3554,2533,230,214,166,19,2886,3554,1321,3161,2254,1011,737,1691,33,270,840,632,711,10,1346,1120,896,1921,3005,735,1286,2407,1153,204,1179,3142,2503,1310,2999,3465,1063,964,2030,2416,1,1,1,1,2763,2727,1,3216,2729,3739
Jalil Tucker,86578,CB,OREGON ST,Oregon State,3,1,0,62.5,0,0,265,0,0,46.4,49.4,78.7,55.6,69.4,35.7,0,0,0,1,61,30,3,1,0,101,10,0,0,5,96,58,104,0,0,0,0,0,0,104,2,44,3,1,6,0,16,0,1,227,101,22.7,73,1489,230,214,166,19,3190,3920,1232,2724,1245,3362,737,1691,33,34,60,158,711,10,1815,205,689,1066,3005,735,1286,2407,1153,1095,737,2452,1134,1436,2108,986,1063,50,2030,2870,1,3648,3702,1,3457,4100,3776,4190,4175,4053
Jackson Schulz,86773,S,KENTUCKY,Kentucky,1,0,0,0,0,0,202,0,0,0,60.1,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceyair Wright,86877,CB,NEBRASKA,Nebraska,3,1,0,25,0,0,238,0,0,71.6,71.1,80,0,63.2,74.2,0,0,0,0,4,0,0,1,0,39.6,1,0,0,5,81,54,103,1,0,0,1,0,1,102,0,49,15,0,0,0,4,0,0,4,1,4,73,1489,230,214,166,19,485,1010,727,3161,2240,1360,737,1691,33,270,1808,158,711,10,1815,258,751,1080,2628,735,1286,1929,1153,862,756,3142,929,596,2999,3465,1063,964,2030,2221,1,1,1,1,2101,2198,1,2333,2346,2417
David Reese,90079,ED,SYRACUSE,Syracuse,3,1,1,100,0,0,304,1,0,49.1,69.2,85.5,70.2,72.7,82.7,0,7,0,0,21,0,0,0,0,118.8,2,0,0,8,0,22,163,150,0,3,143,4,0,13,72,69,4,3,8,1,2,7,0,30,36,15,73,1489,21,214,10,19,3099,1282,8,498,815,224,737,33,33,270,680,632,711,10,1542,1120,1481,266,44,735,1058,14,652,1095,2121,102,322,1310,1028,638,305,1412,111,3533,1,1,1,1,3760,2727,1,3216,3816,3739
Ose Egbase,90529,ED,UNLV,UNLV,3,4,0,0,0,1,325,0,0,65.5,58.5,79.9,69.1,40.8,29.9,0,2,0,0,0,25,3,0,0,0,0,0,0,0,0,1,82,82,1,8,69,4,0,0,52,29,0,2,5,0,0,2,0,0,0,0,73,244,230,13,166,19,968,3157,770,585,4104,3444,737,545,33,270,1950,632,711,10,2676,1120,2777,1532,489,630,823,236,652,1095,2937,319,1896,2115,1502,1201,1063,2196,855,1,1,3355,3702,1,1,1,1,37,18,37
Tyrice Ivy Jr.,90783,S,OREGON ST,Oregon State,1,4,0,100,0,0,265,0,0,57.9,64,74.3,59.4,72.3,83.4,0,0,0,0,19,0,0,0,0,147.9,3,0,0,20,3,16,37,0,0,0,0,0,2,37,1,20,12,0,3,0,3,0,1,30,11,10,3554,244,230,214,166,19,2535,2221,2661,1855,869,183,737,1691,33,270,791,632,711,10,1010,736,1662,2670,3005,735,1286,2407,1153,757,1547,2728,2441,728,2999,1803,1063,1175,2030,3533,1,1,1,1,4096,3098,3776,3216,3059,3199
Allen Smith,97148,S,DELWARE ST,Delaware State,2,0,0,80,1,0,152,0,0,63.6,62.5,0,60,65.8,83.7,0,0,0,0,33,0,0,0,1,118.3,4,0,0,20,0,54,78,1,0,0,1,0,0,77,1,23,57,2,7,1,5,0,0,62,19,15.5,2465,2533,230,214,166,19,1252,2488,3879,1535,1774,172,737,1691,33,270,317,632,711,10,1010,1120,751,1631,2628,735,1286,1929,1153,1095,1030,2728,2259,113,1502,794,305,805,2030,3320,4086,1,1,3446,3758,3382,1,3738,3412,3785
Solomon Brown,97386,S,BUFFALO,Buffalo,3,1,0,55.6,0,0,126,0,0,66.5,70.6,81.5,59.8,79.2,76.9,0,0,0,0,43,6.7,1,2,0,87.7,5,0,0,55,1,91,142,6,0,0,6,0,61,136,2,49,18,5,13,0,9,0,0,85,16,17,73,1489,230,214,166,19,851,1081,307,1719,256,885,737,1691,33,270,153,48,711,10,468,861,185,483,1988,735,1286,1163,1153,148,414,2452,929,504,499,199,1063,321,2030,2719,1,2248,2199,1,3140,3604,1,3951,3291,3869
