Coach,NFL,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,2020school,logopath
Brian VanGorder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Bronco Mendenhall,0,185.57,200.89,178.6,172.5,164.95,165.06,161.71,152.55,148.63,143.97,211.56,181.77,176.15,168.65,128.22,123.25,0,0,0,0,0,Virginia,
Bruce Snyder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.19,#N/A,
Bryan Harsin,0,167.92,189.93,183.46,167.43,160.66,171.68,163.09,113.75,0,0,0,0,0,0,0,0,0,0,0,0,0,Boise State,
Buddy Teevens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.28,179.93,175.79,0,0,#N/A,
Butch Davis,1,162.27,152.57,173.58,137.75,0,0,0,0,0,0,224.64,258.85,205.05,244.08,0,0,0,0,0,0,161.25,Florida International,
Butch Jones,0,0,0,0,237.21,253.94,286.26,274.77,214.06,185.26,168.77,184.21,154.04,100.63,80.68,0,0,0,0,0,0,0,#N/A,
Cam Cameron,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.27,#N/A,
Carl Franks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.65,106.65,0,0,#N/A,
Carl Pelini,0,0,0,0,0,0,0,0,119.58,125.72,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Carl Torbush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Chad Lunsford,0,145.22,125.24,146.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Georgia Southern,
Chad Morris,0,0,237.17,192.11,140.4,152.27,142.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Chan Gailey,1,0,0,0,0,0,0,0,0,0,0,0,0,0,225.49,138.67,114.18,141.96,159.66,136.09,0,0,#N/A,
Charley Molnar,0,0,0,0,0,0,0,0,112.55,19.91,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Charlie Partridge,0,0,0,0,0,132.74,146.02,111.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Charlie Strong,0,0,158.44,176.25,150.65,280.66,272.49,239.85,194.03,194.36,208.34,197.18,0,0,0,0,0,0,0,0,0,0,#N/A,
Charlie Weatherbie,0,0,0,0,0,0,0,0,0,0,0,0,116.77,116.95,69.54,69.77,55.67,76.25,77.6,0,0,0,#N/A,
Charlie Weis,0,0,0,0,0,0,0,177.14,180.28,128.07,0,0,246.29,295.57,274.05,282.8,166.05,0,0,0,0,0,#N/A,
Chip Kelly,1,208.42,199.61,237.77,0,0,0,0,0,251.25,257.09,250.88,212.76,0,0,0,0,0,0,0,0,0,UCLA,
Chip Lindsey,0,154.47,157.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Troy,
Chris Ash,0,0,174.33,184.28,189.01,163.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Chris Ault,0,0,0,0,0,0,0,0,0,135.19,50.28,144.64,120.06,113.23,89.62,86.13,83.33,81.94,0,0,0,0,#N/A,
Chris Creighton,0,136.77,124.99,121.54,100.97,102.89,110.15,84.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eastern Michigan,
Chris Hatcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Chris Klieman,0,182.46,177.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kansas State,
Chris Petersen,0,0,259.19,253.23,224.74,209.87,215.83,198.52,173.51,169.1,159.98,115.97,161.31,118.14,149.94,106.05,0,0,0,0,0,0,#N/A,
Chris Scelfo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.71,82.95,111.61,126.36,108.31,0,0,#N/A,
Chris Tormey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.84,93.48,0,0,#N/A,
Chuck Amato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.92,153.2,185.1,192.52,143.32,27.39,0,#N/A,
Chuck Long,0,0,0,0,0,0,0,0,0,0,0,0,0,123.85,135.97,119.38,0,0,0,0,0,0,#N/A,
Chuck Martin,0,150.61,151.13,103.16,126.73,129.79,150.48,84.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Miami (OH),
Clay Helton,0,181.01,243.51,291.2,297.1,273.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USC,
Craig Bohl,0,138.13,140.75,109.14,122.05,109.65,114.32,80.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wyoming,
Craig Cirbus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Curtis Johnson,0,0,0,0,0,0,128.9,118.86,133.37,124.65,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
D.J. Durkin,0,0,0,218.34,230.17,190.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Dabo Swinney,0,309.73,275.55,283.67,238.91,271.16,277.98,240.73,249.66,241.73,269.69,218.08,207.86,271.35,0,0,0,0,0,0,0,0,Clemson,
Dan Enos,0,0,0,0,0,0,0,91.2,108.05,120.28,75.64,127.67,0,0,0,0,0,0,0,0,0,0,#N/A,
Dan Hawkins,0,0,0,0,0,0,0,0,0,0,0,183.91,188.77,236.08,207.66,155.35,122.57,94.26,71.83,76.83,0,0,#N/A,
Dan McCarney,0,0,0,0,0,0,126.6,105,93.6,108.78,55.16,0,0,0,0,164.57,151.53,143.53,127.9,166.21,0,0,#N/A,
Dan Mullen,0,272.99,276.85,259.56,220.22,211.11,237.46,199.92,214.76,227.14,178.1,212.47,233.49,0,0,0,0,0,0,0,0,0,Florida,
Dana Dimel,0,114.47,131.98,105.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.33,0,0,UTEP,
Dana Holgorsen,0,155.32,165.39,208.32,174.68,194.45,198.02,194.85,201.03,206.7,160.31,0,0,0,0,0,0,0,0,0,0,0,Houston,
Danny Gonzales,0,142.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New Mexico,
Danny Hope,0,0,0,0,0,0,0,0,0,188.27,129.88,186.34,160.65,0,0,0,0,0,0,0,0,0,#N/A,
Danny Rocco,0,0,0,0,0,0,0,0,0,0,13.33,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Darrell Dickey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.55,72.06,85.46,94.48,26.46,0,0,#N/A,
Darrell Hazell,0,0,0,0,0,145.09,162.85,156.02,162.05,105.08,45.57,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Darrin Chiaverini,0,203.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Colorado,
Dave Aranda,0,181.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Baylor,
Dave Baldwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Dave Christensen,0,0,0,0,0,0,0,0,101.61,92.41,59.82,138.94,124.54,0,0,0,0,0,0,0,0,0,#N/A,
Dave Clawson,0,173.82,182.26,176.31,161.99,169.4,176.85,160.4,131.36,115.2,77.59,146.16,129.11,0,0,0,0,0,0,0,0,0,Wake Forest,
Dave Doeren,0,246.65,218.57,232.27,207.81,204.83,214.05,213.58,206.42,104.53,67.82,0,0,0,0,0,0,0,0,0,0,0,North Carolina,
Dave Wannstedt,1,0,0,0,0,0,0,0,0,0,0,212.43,197.86,224.64,216.08,229.68,158.2,0,0,0,0,0,#N/A,
David Bailiff,0,0,0,0,101.12,93.86,120.11,117.7,123.22,123.63,67.71,144.16,133.54,113.79,109.97,0,0,0,0,0,0,0,#N/A,
David Beaty,0,0,0,178.59,159.35,159.19,153.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
David Bennett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
David Cutcliffe,0,171.72,191.38,176.85,184.46,204.67,175.77,166.35,148.96,165.02,149.33,171.81,181.94,145.79,0,0,0,177.18,166.37,193.5,55.6,26.1,Duke,
David Elson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
David Shaw,0,238.62,242.58,202.29,246.79,245.82,220.65,250.05,175.38,275.98,221.85,0,0,0,0,0,0,0,0,0,0,0,Stanford,
Dean Pees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.45,6.67,0,0,#N/A,
Dennis Erickson,1,0,0,0,0,0,0,0,0,0,146.68,203.28,211.24,225.65,187.91,0,0,0,0,153.38,55.53,0,#N/A,
Dennis Franchione,0,0,0,0,0,0,124.71,109.9,120.48,94.09,12.55,0,0,0,171.74,215.25,235.38,241.23,207.47,147.97,29.86,28.69,#N/A,
Derek Dooley,0,0,0,0,0,0,0,0,0,242.81,253.78,271.56,155.85,124.43,126.35,0,0,0,0,0,0,0,#N/A,
Derek Mason,0,182.21,182.42,202.04,167.42,171.54,181.37,183.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vanderbilt,
DeWayne Walker,0,0,0,0,0,0,0,0,0,120.43,30.13,132.06,91.92,0,0,0,0,0,0,0,0,0,#N/A,
Dick Tomey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.22,#N/A,
Dino Babers,0,175.88,182.67,189.14,180.08,165.15,119.83,102.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Syracuse,
Dirk Koetter,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.18,180.3,191.49,183.77,193.35,26.63,0,#N/A,
Doc Holliday,0,146.14,165.42,165.85,132.84,176.55,149.98,165.64,170.81,134.93,152.84,164.29,0,0,0,0,0,0,0,0,0,0,Marshall,
Don Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Don Nehlen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Don Strock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.73,26.01,4.44,0,6.67,0,0,#N/A,
Don Treadwell,0,0,0,0,0,0,0,0,107.36,121.01,57.32,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Doug Marrone,1,0,0,0,0,0,0,0,0,170.44,155.37,180.14,128,0,0,0,0,0,0,0,0,0,#N/A,
Doug Martin,0,108.54,125.55,109.3,94.57,94.49,87.78,86.79,92.08,0,0,138.28,125.9,112.84,95.57,48.84,65.23,67.72,0,0,0,0,New Mexico State,
Ed Orgeron,0,300.54,284.06,254.38,287.66,0,0,0,256.44,0,0,0,0,0,221.24,231.94,183.26,0,0,0,0,0,LSU,
Eliah Drinkwitz,0,182.85,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Missouri,
Ellis Johnson,0,0,0,0,0,0,0,0,0,150.61,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Everett Withers,0,0,0,124.24,127.89,111.71,0,0,0,0,230.93,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Fisher DeBerry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.95,41.08,21.9,13.29,6.67,0,0,#N/A,
Fitz Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Frank Beamer,0,0,0,0,0,0,212.07,217.39,223.82,231.41,190.02,214.01,224.32,225.32,208.21,185.47,209.67,175.27,174.88,154.53,82.72,26.29,#N/A,
Frank Solich,0,116.96,138.11,110.94,120.83,109.82,128.68,105.12,96.79,116.72,67.8,101.59,105.11,117.01,71.71,81.66,68.71,0,166.25,172.33,26.91,55.63,Ohio,
Frank Spaziani,0,0,0,0,0,0,0,0,0,150.03,180.89,196.9,164.59,0,0,0,0,0,0,0,0,0,#N/A,
Frank Wilson,0,0,142.31,152.98,151.48,120.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Garrick McGee,0,0,0,0,0,0,0,0,118.27,96.91,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Gary Andersen,0,134.5,149.92,0,181.32,169.17,167.89,205.44,191.08,96.05,56.53,127.94,84.41,0,0,0,0,0,0,0,0,0,Utah State,
Gary Barnett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.97,143.15,185.54,218.56,27.51,83.19,#N/A,
Gary Blackney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Gary Crowton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.71,123.78,167.84,0,0,#N/A,
Gary Darnell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.24,77.98,84.27,0,0,#N/A,
Gary Nord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.41,0,0,0,#N/A,
Gary Patterson,0,215.88,210.62,224.13,210.03,235.79,191.44,188.64,194.83,219.37,207.48,192.08,196.02,133.71,155.69,143.23,152.76,131.89,110.37,113.44,0,0,TCU,
Gary Pinkel,0,0,0,0,0,0,217.98,198.53,189.91,212.4,158.06,229,206.45,207.9,199.83,162.96,164.44,197.15,163.47,190.06,27.69,0,#N/A,
Gene Chizik,0,0,0,0,0,0,0,0,0,261.81,281.02,277.2,226.93,155.21,155.95,0,0,0,0,0,0,0,#N/A,
Geoff Collins,0,222.73,188.28,155.39,108.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Georgia Tech,
George Barlow,0,0,0,0,0,0,0,0,0,0,57.85,0,0,0,0,0,0,0,0,0,0,0,#N/A,
George O'Leary,0,0,0,0,0,0,160.78,159.55,139.32,113.11,158.74,189.21,163.27,162.5,154.18,112.86,115.27,73.92,0,0,0,54.41,#N/A,
George Welsh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.47,#N/A,
Gerry DiNardo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.43,101.12,91.93,0,0,#N/A,
Glen Mason,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.77,142.28,128.67,149.65,90.65,0,0,#N/A,
Greg McMackin,0,0,0,0,0,0,0,0,0,0,73.77,155.71,151.83,134.54,0,0,0,0,0,0,0,0,#N/A,
Greg Robinson,0,0,0,0,0,0,0,0,0,0,0,0,0,166.43,168.09,150.59,122.04,0,0,0,0,0,#N/A,
Greg Schiano,1,170.14,0,0,0,0,0,0,0,0,205.88,186.09,214.01,182.51,199.38,170.43,125.44,138.98,164.34,117.69,0,0,Rutgers,
Gregg Brandon,0,0,0,0,0,0,0,0,0,0,0,0,0,71.09,66.74,93.28,77.41,82.68,90.32,0,0,0,#N/A,
Gus Malzahn,0,274.6,271.94,262.77,255.92,275.14,278.31,277.12,267.46,162.02,0,0,0,0,0,0,0,0,0,0,0,0,Auburn,
Guy Morriss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.62,154.18,125.15,80.82,126.41,0,0,0,#N/A,
Hal Mumme,0,0,0,0,0,0,0,0,0,0,0,0,0,92.38,82.22,63.94,19.8,0,0,0,0,29.46,#N/A,
Herm Edwards,1,229.47,219.76,207.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arizona State,
Houston Nutt,0,0,0,0,0,0,0,0,0,0,226.45,223.7,240.24,204.46,189.14,204.67,192.49,199.85,155.43,191.28,110.15,79.86,#N/A,
Howard Schnellenberger,1,0,0,0,0,0,0,0,0,0,60.49,66.11,0,0,0,32.72,28.65,15.54,0,0,0,0,#N/A,
Hugh Freeze,0,146.5,108.39,0,0,281.69,245.71,241.12,275.52,190.69,48.25,0,0,0,0,0,0,0,0,0,0,0,Liberty,
J. D. Brookhart,0,0,0,0,0,0,0,0,0,0,0,0,124.68,106.94,128.55,102.97,88.92,75.91,0,0,0,0,#N/A,
Jack Bicknell Jr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.59,85.65,78.11,130.03,45.48,0,0,#N/A,
Jack Harbaugh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Jackie Sherrill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.22,226.35,26.35,0,#N/A,
Jake Spavital,0,145.19,111.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Texas State,
James Franklin,0,256.05,270.67,285.92,240.47,237.79,250,221.35,211.23,194.25,164,0,0,0,0,0,0,0,0,0,0,0,Penn State,
Jason Candle,0,164.2,162.01,174,146.6,132.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Toledo,
Jay Hopson,0,161.52,156.39,157.89,152.71,126.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southern Mississippi,
